,bib,name,team,category,rank,nationality,time,timediff
0,47,SHERPA Dachhiri-Dawa,TEAM FILA,SEH,1,NP,72358,0
1,8,GAYLORD Topher,THE NORTH FACE,SEH,2,US,80117,7759
2,301,SYBROWSKY Brandon,TEAM MONTRAIL,SEH,2,US,80117,7759
3,375,SCHNEIDER Giselher,LG-CHIEMGAU SÜD,V1H,1,DE,85037,12679
4,457,SCHWEIZER Werner,FOULEE GLAND,V3H,1,CH,87516,15158
5,444,BOEBION Daniel,,V2H,1,Fr,89502,17144
6,469,GONDAS Ondrej,SV JENESIEN RAIFFEISEN,V2H,2,SI,89502,17144
7,194,HOBLEA Fabien,CHAMBERY TRIATHLON,SEH,4,Fr,89623,17265
8,543,COUMENGES Regis,TRI OLYMPIQUE CLUB CESSONNAIS,SEH,5,FR,92021,19663
9,569,TECHER Henri,GAZELLES &amp; GALOPINS,SEH,6,FR,95528,23170
10,740,FAVRE-FELIX Lionel,,SEH,7,FR,95754,23396
11,17,BONNOTTE Eric,UFO,SEH,8,FR,98787,26429
12,651,PIGEAULT Jean-Luc,COURIR A VOREPPE,V1H,2,FR,98787,26429
13,413,BOUDAY Luc,CNP PONTARLIER,V2H,3,FR,99846,27488
14,510,LESEURRE Jerome,,SEH,9,FR,99912,27554
15,203,VUILLEMENOT Roland,ULTRA MAARATHON FRANCE,V2H,4,Fr,101934,29576
16,1,POLETTI Michel,UFO / CHAMONIX-MONT-BLANC-MARATHON,V1H,3,FR,102662,30304
17,71,BERTONE Silvio,ATLETICA RIVOLI S.GIUSEPPE,SEH,10,IT,102662,30304
18,351,DELEMONTEZ Didier,FAUCIGNY ATHLETIC CLUB,V1H,4,FR,104527,32169
19,161,CORDIER Eric,,V1H,5,Fr,105353,32995
20,426,DESCHAMPS Patrick,PRAZ MONTAGNE,V2H,5,FR,105353,32995
21,499,ANTOINE Bernard,ASRHV,SEH,11,Fr,105353,32995
22,616,STICKLAND Rex,INVICTA EAST KENT AC,V2H,6,GB,106038,33680
23,303,MOEHL Kristin,TEAM MONTRAIL,SEF,1,US,106703,34345
24,596,SAULET Bruno,,SEH,12,Fr,106818,34460
25,66,DELAUNAY Fabrice,UFO,SEH,13,FR,110831,38473
26,35,WEISS Georg,LG Rosbach-Rodheim,V1H,6,DE,111558,39200
27,175,LALY Gery,,SEH,14,Fr,112489,40131
28,32,ARTIGAS Josep,,V1H,7,ES,113512,41154
29,63,LENAERTS Edwin,LES COUREURS CELESTES,SEH,15,BE,113512,41154
30,196,BAUER Daniel,FFME DU VIGAN (club escalade),SEH,16,FR,115980,43622
31,222,GROSLAMBERT Daniel,ESPACE MORTEAU,V1H,8,Fr,115980,43622
32,721,BAIS-LE-ROUX Anne-Marie,,V1F,1,Fr,116376,44018
33,111,SCHRAMECK Michel,PEACE MESSENGERS,SEH,17,Fr,117895,45537
34,639,ADDIS ANDREW,MACCLESFIELD HARRIERS,V1H,9,GB,118126,45768
35,690,RINGEVAL Bruno,UFO,V1H,10,FR,118611,46253
36,384,GAUTHIER Monique,USO CHELLES JOGGING,V1F,2,Fr,119035,46677
37,617,MATTONE Valentino,ALBA DOCILIA,V2H,7,IT,119035,46677
38,672,CABELLOS Marie-Laure,,V1F,3,Fr,121514,49156
39,494,LESERVOISIER patrick,OXYGENE -  LAYDERNIER,SEH,18,FR,123025,50667
40,173,LAPERROUSAZ Pascal,THONON CAP ENDURANCE,V1H,11,FR,123424,51066
41,621,COURTIADE Michel,,V1H,12,Fr,123441,51083
42,675,BARICHELLO Gastone,CASTAGNOLI - ATLETICA VIMAR MAROSTICA,V1H,13,IT,123561,51203
43,455,MOYSAN Yann,,SEH,19,Fr,123767,51409
44,304,WOLTER-ROESSLER Tom,,SEH,20,DE,123772,51414
45,488,BRUNNER Ludwig,SV JENESIEN RAIFFEISEN,V1H,14,IT,123907,51549
46,515,JUDA Martina,SV JENESIEN RAIFFEISEN,SEF,2,CZ,123907,51549
47,564,MARBACH  Hubert,LES BAROUDEURS DU CENTRE-ALSACE,V2H,8,FR,124167,51809
48,4,MARMIER Jean-Claude,CMBM,V3H,2,FR,125112,52754
49,263,MARTIN Eric,,SEH,21,Fr,125192,52834
50,104,WARENGHEM Roger,MARATHON DE SAVOIE,V1H,15,Fr,125193,52835
51,567,KAYSER Michel,LES BAROUDEURS DU CENTRE-ALSACE,V1H,16,FR,125490,53132
52,277,HUDRY Jean Francois,,V1H,17,FR,125562,53204
53,75,WEINMANN Frédéric,ANA HAGUENAU,V2H,9,FR,126706,54348
54,89,PLANES Lionel,UFO / AS CAVAILLON,SEH,22,FR,128749,56391
55,118,EVEN Jean Yves,REV 7,V1H,18,FR,128749,56391
56,242,MICOL Martin,UFO / AMBERIEU MARATHON,SEH,23,Fr,128749,56391
57,671,BORDINI Roberto,CASTAGNOLI,V2H,10,IT,129399,57041
58,683,MONNIER SERGE,,SEH,24,Fr,130261,57903
59,76,ABRAHAM Francis,,V2H,11,Fr,131225,58867
60,77,LEFRANC Marie,,V1F,4,Fr,131225,58867
61,129,MUTTKE Klaus,SSC HANAU-RODENBACH,V1H,19,DE,132171,59813
62,725,DRESCHER Anke,SSC HANAU-RODENBACH,SEF,3,DE,132171,59813
63,318,SOLLER Jean-pierre,WHITE HARRIERS,V1H,20,FR,132517,60159
64,361,MARRACQ Nicolas,UFO,SEH,25,Fr,132532,60174
65,410,HENDRIKS Tom,AV HAARLEMMERMEER,V1H,21,NL,132789,60431
66,652,PORTE Manuel,ESBUFECS,V1H,22,ES,135900,63542
