,bib,name,team,category,rank,nationality,time,Voza,Conta,Bonhom,Chap,Seigne,Favre,Courm,Bertone,Elena,ColFerr,Fouly,Champ,Bovine,Trient,Vallorc,Gardes,Cham,timediff
0,81,DELEBARRE Vincent,LES TRAILERS DU MONT BLANC - UFO - QUECHUA,SEH,1,FR,75978.0,4657.0,8580.0,15441.0,17135.0,22815.0,27382.0,30896.0,34905.0,42095.0,44344.0,47478.0,55302.0,59555.0,62871.0,68507.0,73156.0,75978.0,0.0
1,1,SHERPA Dachhiri-Dawa,TEAM QUECHUA,SEH,2,NP,82948.0,4609.0,8301.0,15420.0,17133.0,22890.0,27398.0,30878.0,34907.0,42146.0,44413.0,47473.0,55377.0,61132.0,64751.0,73465.0,79668.0,82948.0,6970.0
2,845,PACHE Jean Claude,CARC ROMONT,SEH,3,CH,85208.0,5053.0,9104.0,17435.0,19406.0,25916.0,30680.0,,38749.0,45514.0,47931.0,51536.0,59922.0,65227.0,68926.0,76818.0,81950.0,85208.0,9230.0
3,11,FAVRE-FELIX Lionel,,SEH,4,FR,85836.0,5277.0,9675.0,17427.0,19411.0,25992.0,30791.0,34577.0,40559.0,46623.0,49037.0,52438.0,60839.0,66813.0,70476.0,77504.0,82893.0,85836.0,9858.0
4,1149,NEMETH Csaba,TEAM OLANG,SEH,5,HU,86049.0,4372.0,8275.0,16204.0,18750.0,24816.0,29562.0,33988.0,38314.0,45077.0,47319.0,51357.0,59739.0,65151.0,69562.0,76866.0,82420.0,86049.0,10071.0
5,352,CERCUEIL Michel,UFO TEAM MANIAK,SEH,6,FR,89186.0,5574.0,10154.0,19063.0,21573.0,28128.0,33738.0,38148.0,44021.0,50970.0,53318.0,57037.0,65394.0,71303.0,74811.0,81363.0,85995.0,89186.0,13208.0
6,890,VERDIER Philippe,UFO / AGF-ELA-NIKE,V1H,7,FR,89188.0,5304.0,9558.0,17660.0,19827.0,26635.0,31569.0,35473.0,40659.0,47634.0,50018.0,53424.0,61935.0,68323.0,72384.0,79910.0,85786.0,89188.0,13210.0
7,715,FATTON Christian,,V1H,8,CH,91230.0,5082.0,9155.0,17716.0,20073.0,26341.0,31434.0,35715.0,40402.0,47238.0,49697.0,53488.0,62077.0,68354.0,72976.0,81242.0,87501.0,91230.0,15252.0
8,5,SCHWEIZER Werner,FOULEE GLAND,V3H,9,CH,91462.0,14219.0,9753.0,18454.0,21009.0,27194.0,32644.0,36812.0,41110.0,47763.0,50036.0,53563.0,62024.0,68479.0,72853.0,80816.0,87503.0,91462.0,15484.0
9,10,TECHER Henri,LES FINS GUIMIERS,V1H,10,FR,92189.0,5853.0,10817.0,19795.0,22457.0,29451.0,34969.0,39022.0,44342.0,51626.0,53953.0,57535.0,66106.0,71577.0,75553.0,83104.0,88395.0,92189.0,16211.0
10,7,GONDAS Ondrej,SV JENESIEN RAIFFEISEN,V2H,11,SI,93490.0,5140.0,9649.0,17707.0,20110.0,26642.0,32104.0,36453.0,42795.0,48940.0,51219.0,54676.0,62641.0,69407.0,73473.0,81694.0,88326.0,93490.0,17512.0
11,1068,STAMSTAD John,,SEH,12,US,93548.0,5274.0,9666.0,18703.0,21047.0,27546.0,33195.0,37232.0,41997.0,49412.0,51760.0,55641.0,64655.0,71123.0,76268.0,84103.0,90046.0,93548.0,17570.0
12,726,CEAGLIO Pierre,,SEH,13,FR,93796.0,5269.0,9779.0,19039.0,21949.0,29054.0,35443.0,39334.0,45355.0,53559.0,56181.0,60138.0,67672.0,72608.0,77475.0,85159.0,90158.0,93796.0,17818.0
13,926,BORCARD Colette,FSG NEIRIVUE,V1F,14,CH,94134.0,5338.0,9736.0,18453.0,21043.0,27814.0,33640.0,38309.0,42812.0,49884.0,52669.0,57091.0,66159.0,71359.0,76814.0,84637.0,90074.0,94134.0,18156.0
14,691,LETELLIER Jean Claude,,SEH,15,FR,95491.0,5246.0,9420.0,17425.0,19451.0,26052.0,30728.0,34579.0,40747.0,48603.0,51737.0,55712.0,65371.0,73909.0,78179.0,85237.0,91938.0,95491.0,19513.0
15,920,MOKHTARI Labib,ZSCHOKTE LOCHER,V1H,16,FR,95798.0,5128.0,9924.0,19126.0,21051.0,27615.0,33393.0,37569.0,43219.0,49660.0,52760.0,55908.0,64485.0,71271.0,75798.0,84563.0,90533.0,95798.0,19820.0
16,91,TWIETMEYER TIM,TEAM THE NORTH FACE,V1H,17,US,96130.0,5474.0,10156.0,19531.0,22062.0,28622.0,34774.0,39112.0,44364.0,51438.0,53874.0,57907.0,67230.0,73718.0,,86135.0,91852.0,96130.0,20152.0
17,12,BONNOTTE Eric,UFO,SEH,18,FR,97269.0,6328.0,11099.0,19770.0,21896.0,28527.0,33952.0,38006.0,43388.0,50562.0,53333.0,57077.0,66179.0,73788.0,77907.0,86114.0,93028.0,97269.0,21291.0
18,494,ECLAPIER Jean-Claude,,V1H,19,Fr,97626.0,5437.0,10128.0,18967.0,21172.0,28853.0,34425.0,38416.0,47143.0,54462.0,57191.0,60938.0,69882.0,77384.0,81019.0,87919.0,94291.0,97626.0,21648.0
19,326,ECLAPIER Dominique,,V1H,20,Fr,97627.0,5436.0,10124.0,18960.0,21171.0,28817.0,34415.0,38416.0,47132.0,54441.0,57104.0,60932.0,69879.0,77391.0,81019.0,87916.0,94293.0,97627.0,21649.0
20,658,HARTELL Mark,MACCLESFIELD HARRIERS,V1H,21,GB,97826.0,5278.0,9593.0,17586.0,19832.0,26167.0,31132.0,35626.0,40762.0,48352.0,50797.0,54673.0,63590.0,70252.0,75192.0,84423.0,92045.0,97826.0,21848.0
21,955,DURAND Bruno,LES CHEVALIERS DU VENT,SEH,22,FR,97896.0,5585.0,10179.0,18983.0,21228.0,28211.0,34321.0,38735.0,45901.0,53112.0,55834.0,59838.0,68831.0,76320.0,80105.0,87856.0,94234.0,97896.0,21918.0
22,1145,BERTOLI MATTEO,ASS. SPORTIVA FREEZONE,SEH,23,IT,97931.0,5550.0,10131.0,19206.0,21716.0,28352.0,34224.0,38535.0,45125.0,52528.0,55110.0,59237.0,69473.0,76973.0,81098.0,87958.0,94240.0,97931.0,21953.0
23,14,BOUDAY Luc,UFO  /  SPORTS AVENTURES HAUT DOUBS,V2H,24,FR,100401.0,7427.0,11497.0,20862.0,23209.0,,35361.0,39771.0,45726.0,52533.0,54987.0,59197.0,68979.0,75575.0,80288.0,88909.0,95949.0,100401.0,24423.0
24,170,GIRARD Matthieu,TEAM LA TRACE,SEH,25,CH,100403.0,6464.0,11630.0,20867.0,23211.0,,35367.0,39734.0,45747.0,52531.0,54992.0,59189.0,68982.0,75571.0,80248.0,88940.0,95953.0,100403.0,24425.0
25,106,AMAR BEN KADOUR Abdel,,V1H,26,FR,101115.0,5780.0,10457.0,19458.0,21919.0,29224.0,35371.0,39282.0,44443.0,51809.0,54439.0,59498.0,69257.0,75381.0,80207.0,88623.0,95825.0,101115.0,25137.0
26,605,GANNAC Philippe,TEAM SOCQUET SPORTS,SEH,27,FR,101516.0,5796.0,10542.0,19800.0,21899.0,28830.0,34868.0,39012.0,44915.0,52686.0,55159.0,59096.0,68774.0,76767.0,81368.0,90274.0,96840.0,101516.0,25538.0
27,1000,CROSET Bruno,ASPTT ANNECY,V1H,28,FR,101571.0,4576.0,8622.0,19156.0,21893.0,29317.0,34652.0,38710.0,45534.0,53669.0,56117.0,59965.0,68443.0,74786.0,80949.0,88515.0,96844.0,101571.0,25593.0
28,1373,ERNZEN Jean-Pierre,,SEH,29,LU,101906.0,5255.0,9606.0,18740.0,21284.0,28237.0,34532.0,39013.0,43973.0,51817.0,54300.0,58503.0,68771.0,76758.0,81332.0,90699.0,97421.0,101906.0,25928.0
29,332,BRENNWALD Adrian,SSC LANGRAU,SEH,30,CH,101938.0,6523.0,11935.0,21234.0,23825.0,,36654.0,41555.0,47021.0,54410.0,56784.0,60982.0,70050.0,77339.0,82205.0,90284.0,96978.0,101938.0,25960.0
30,357,MILLET Guillaume,UFO : NOSE,SEH,31,FR,102923.0,5754.0,10734.0,19804.0,22171.0,29526.0,35329.0,39718.0,45117.0,52525.0,54995.0,59186.0,68942.0,75581.0,80676.0,89940.0,97609.0,102923.0,26945.0
31,40,LESERVOISIER patrick,CA AMBILLY,V1H,32,FR,102930.0,6477.0,11477.0,20896.0,23666.0,,36828.0,41280.0,48309.0,56322.0,58669.0,63293.0,73058.0,78938.0,83390.0,91105.0,97615.0,102930.0,26952.0
32,204,WEISS Georg,LG Rosbach-Rodheim,V1H,33,DE,104056.0,6959.0,12606.0,22479.0,25616.0,,38618.0,42614.0,47172.0,55189.0,57775.0,62006.0,71015.0,77373.0,81928.0,90703.0,98465.0,104056.0,28078.0
33,1366,TRECOURT François,,V1H,34,FR,106490.0,5694.0,10173.0,18972.0,21223.0,28247.0,34247.0,38861.0,44738.0,52805.0,55948.0,61112.0,71496.0,78220.0,83828.0,92992.0,101799.0,106490.0,30512.0
