,bib,name,team,category,rank,nationality,time,Col de Voza,Les Contamines,La Balme,Les Chapieux CCAS,Col de la Seigne,Refuge Elisabetta,Arête Mont-Favre,Col Chécrouit - Maison Vieille,Courmayeur - Dolonne,Refuge Bertone,Refuge Bonatti,Arnuva,Grand Col Ferret,La Peulaz,La Fouly,Praz de Fort,Champex d'en Bas,Bovine,Trient,Les Tseppes,Vallorcine,Argentière,Chamonix - Arrivée,timediff
0,2795,JAQUEROD Christophe,TEAM LAFUMA,SEH,1,CH,76267.0,,8375.0,11620.0,17745.0,24051.0,25195.0,28232.0,29991.0,31590.0,35614.0,39883.0,42540.0,46562.0,49939.0,50120.0,53268.0,,61925.0,64724.0,67493.0,70413.0,72965.0,76267.0,0.0
1,1,DELEBARRE Vincent,TRAILERS DU MONT BLANC - QUECHUA,SEH,2,FR,77102.0,4661.0,3429.0,11623.0,16840.0,22162.0,23273.0,26307.0,28076.0,29841.0,33949.0,37851.0,40150.0,43855.0,45198.0,47202.0,50679.0,,60313.0,63725.0,66698.0,70011.0,73103.0,77102.0,835.0
2,2287,OLMO Marco,M&amp;P RISK AGENCI,V2H,3,IT,78597.0,,8984.0,12483.0,18624.0,24617.0,26217.0,29586.0,31628.0,33464.0,37631.0,,43928.0,47753.0,49947.0,51230.0,54192.0,,,,68878.0,72498.0,74989.0,78597.0,2330.0
3,31,MILLET Guillaume,UFO / NOSE,SEH,4,FR,85524.0,,9134.0,12668.0,18949.0,25524.0,26827.0,30423.0,32451.0,35111.0,39564.0,43501.0,46055.0,50232.0,51702.0,53922.0,57279.0,62166.0,68356.0,71757.0,74908.0,78542.0,81510.0,85524.0,9257.0
4,2464,GUILLON Antoine,TAILL AVENTURE,SEH,4,FR,85524.0,,9709.0,13915.0,20751.0,27400.0,28701.0,32569.0,34423.0,36249.0,40957.0,44812.0,47313.0,51661.0,53110.0,55347.0,58650.0,63158.0,68564.0,71758.0,75070.0,78544.0,81512.0,85524.0,9257.0
5,500,GAYLORD Topher,THE NORTH FACE,SEH,6,US,87227.0,5006.0,9274.0,12864.0,18980.0,25162.0,26507.0,29972.0,31966.0,33913.0,38769.0,42948.0,45650.0,50630.0,52221.0,56533.0,60567.0,65259.0,70731.0,73943.0,77068.0,80640.0,83655.0,87227.0,10960.0
6,2132,QUINIO FRANCOIS,APINAY AC,SEH,7,Fr,87397.0,,8988.0,12937.0,19160.0,25644.0,26948.0,30620.0,32596.0,34524.0,39869.0,43557.0,46111.0,50298.0,51704.0,53920.0,57065.0,61630.0,,70517.0,74349.0,78184.0,81755.0,87397.0,11130.0
7,2844,MYRTAL Eddy,DIAGONALE DES FOUS,SEH,8,FR,87564.0,,9182.0,12834.0,19618.0,26526.0,28026.0,32036.0,34453.0,36281.0,41140.0,45211.0,47780.0,53326.0,54927.0,57273.0,60153.0,64372.0,,73173.0,76481.0,79811.0,83227.0,87564.0,11297.0
8,23,BERTOLI MATTEO,ASS. SPORTIVA FREEZONE,SEH,9,IT,88159.0,,1107.0,13220.0,20218.0,26342.0,27711.0,31367.0,33304.0,35234.0,40052.0,,47022.0,51293.0,52808.0,55410.0,58807.0,64100.0,70197.0,73309.0,76573.0,80475.0,83732.0,88159.0,11892.0
9,29,ERNZEN Jean-Pierre,CELTIC DIEKIRCH,V1H,10,LU,89019.0,,8993.0,12756.0,19219.0,25637.0,26953.0,30618.0,32616.0,34536.0,39561.0,43555.0,46147.0,50048.0,51404.0,53798.0,57703.0,62694.0,69031.0,72871.0,76137.0,80377.0,84038.0,89019.0,12752.0
