,bib,name,team,category,rank,nationality,time,Col de Voza,Les Contamines,La Balme,Refuge Croix du Bonhomme,Les Chapieux CCAS,Col de la Seigne,Refuge Elisabetta,Arête Mont-Favre,Col Chécrouit - Maison Vieille,Courmayeur - Dolonne,Refuge Bertone,Refuge Bonatti,Arnuva,Grand Col Ferret,La Peulaz,La Fouly,Praz de Fort,Champex Lac,Bovine,Trient,Les Tseppes,Vallorcine,Argentière,Chamonix - Arrivée,timediff
0,3,OLMO Marco,M&amp;AMP;P RISK AGENCI,V2H,1,IT,75966.0,4942.0,9052.0,12555.0,16408.0,18478.0,23969.0,25515.0,28355.0,30255.0,31942.0,36180.0,40139.0,42688.0,46245.0,,49618.0,52655.0,55702.0,60549.0,63333.0,66088.0,69398.0,72218.0,75966.0,0.0
1,3021,NEMETH Csaba,E.G. MOUNTEX,SEH,2,HU,77852.0,4697.0,8525.0,11876.0,16053.0,17984.0,23238.0,24760.0,27578.0,29491.0,31449.0,35264.0,39201.0,41691.0,45439.0,,49034.0,52059.0,55238.0,60898.0,64110.0,67149.0,71202.0,74098.0,77852.0,1886.0
2,2,DELEBARRE Vincent,TRAILERS DU MONT BLANC - CMBM - QUECHUA - EMHM - CMBM,SEH,3,FR,79169.0,4853.0,8610.0,12118.0,16027.0,17856.0,23395.0,24750.0,27535.0,29239.0,31095.0,35249.0,39080.0,41492.0,45115.0,,48408.0,51337.0,54688.0,61251.0,66462.0,26037.0,73139.0,75775.0,79169.0,3203.0
3,3277,LUKAS Jens,LSG KARLSRUHE,V1H,4,DE,80115.0,5248.0,9504.0,13535.0,17941.0,20168.0,26513.0,28063.0,31392.0,33252.0,35052.0,39600.0,43064.0,45473.0,49325.0,,52536.0,55537.0,58889.0,64742.0,67716.0,70465.0,73652.0,76413.0,80115.0,4149.0
4,5,MILLET Guillaume,,SEH,5,FR,82451.0,5094.0,9438.0,13256.0,17267.0,19359.0,25393.0,27049.0,30189.0,32012.0,33765.0,38242.0,42205.0,44673.0,48681.0,,52384.0,55539.0,58924.0,65210.0,68455.0,71468.0,75101.0,78204.0,82451.0,6485.0
5,14,GRIVEL Stephane,CHEVALIERS DU VENT,SEH,6,FR,84306.0,4697.0,8520.0,12040.0,16482.0,18772.0,25873.0,27717.0,31312.0,33469.0,3419.0,40374.0,44268.0,47020.0,50996.0,,54764.0,57623.0,61361.0,68039.0,70925.0,73751.0,77260.0,80385.0,84306.0,8340.0
6,23,STAUB Vincent,LES TROTTEURS,SEH,7,CH,84398.0,4711.0,8428.0,12413.0,16702.0,18937.0,25127.0,26822.0,29835.0,31875.0,33679.0,38646.0,42795.0,45271.0,49303.0,,52945.0,56512.0,59846.0,66412.0,69764.0,72787.0,76740.0,80245.0,84398.0,8432.0
7,1669,MERMOUD Nicolas,ELIX,V1H,8,FR,85236.0,4632.0,8338.0,12038.0,16185.0,18113.0,24420.0,25970.0,29094.0,31069.0,32850.0,37705.0,42094.0,44434.0,48343.0,,52202.0,56219.0,59693.0,66391.0,70088.0,73636.0,77322.0,80876.0,85236.0,9270.0
8,1002,OULEDI WILFRID,TESB,SEH,9,FR,85376.0,4800.0,8611.0,12243.0,16552.0,18815.0,24707.0,26326.0,29477.0,31562.0,33641.0,37675.0,41664.0,44187.0,48534.0,,52966.0,56683.0,60331.0,67248.0,70676.0,73928.0,78007.0,81016.0,85376.0,9410.0
9,2608,LLONCH CASASAMPERA Enric,CENTRE EXCURSIONISTA TORELLO,SEH,10,ES,85982.0,5255.0,9503.0,13248.0,17272.0,19526.0,25607.0,27347.0,30784.0,32838.0,34632.0,39281.0,43129.0,45806.0,50194.0,,54068.0,57243.0,60717.0,67492.0,71258.0,74537.0,78068.0,81583.0,85982.0,10016.0
