,bib,name,team,category,rank,nationality,time,La Charme,Saint-Gervais,Les Contamines,La Balme,Refuge Croix du Bonhomme,Les Chapieux CCAS,Col de la Seigne,Refuge Elisabetta,Col Chécrouit - Maison Vieille,Courmayeur - Dolonne,Refuge Bertone,Refuge Bonatti,Arnuva,Grand Col Ferret,La Fouly,Champex Lac,Bovine,Trient,Catogne,Vallorcine,Argentière,Chamonix - Arrivée,timediff
0,1,OLMO Marco,,V2H,1,IT,77518.0,5459.0,7477.0,11392.0,14915.0,18743.0,20690.0,26220.0,27750.0,32430.0,34220.0,38115.0,42247.0,44673.0,48174.0,51552.0,57325.0,62360.0,65100.0,69060.0,71193.0,73732.0,77518.0,0.0
1,4,LUKAS Jens,LSG KARLSRUHE,V1H,2,DE,80635.0,5766.0,7670.0,11830.0,15809.0,,22227.0,28238.0,29928.0,34936.0,37038.0,41397.0,45050.0,47511.0,50988.0,54485.0,60396.0,65866.0,68706.0,72360.0,74446.0,76989.0,80635.0,3117.0
2,8,MERMOUD Nicolas,,V1H,3,FR,81051.0,5094.0,6758.0,10398.0,14005.0,17763.0,19371.0,25451.0,26857.0,31440.0,33157.0,37355.0,41374.0,43623.0,47434.0,50947.0,57240.0,63443.0,66463.0,71100.0,73368.0,76549.0,81051.0,3533.0
3,3650,BONAUDO Samuel,TEAM SALOMON,SEH,4,FR,82132.0,5465.0,7497.0,11384.0,14933.0,,20833.0,27953.0,29596.0,34537.0,36202.0,40464.0,44243.0,46571.0,50571.0,53747.0,59879.0,65986.0,68828.0,73440.0,75683.0,78286.0,82132.0,4614.0
4,1543,SHERPA Dachhiri-Dawa,TEAM QUECHUA - APACHE,SEH,5,NP,82843.0,5347.0,7287.0,11030.0,14802.0,18650.0,20480.0,26346.0,27905.0,32792.0,34734.0,38896.0,42872.0,45242.0,48859.0,52593.0,58992.0,64603.0,68573.0,72960.0,75481.0,78376.0,82843.0,5325.0
5,5,MILLET Guillaume,,SEH,6,FR,85243.0,5742.0,7778.0,11963.0,15780.0,,21924.0,28164.0,29763.0,34859.0,36821.0,40942.0,44872.0,47317.0,51016.0,54545.0,61044.0,67324.0,70652.0,75120.0,77948.0,81029.0,85243.0,7725.0
6,1532,JAQUEROD Christophe,TEAM LAFUMA,V1H,6,CH,85243.0,5346.0,7230.0,10939.0,14681.0,18726.0,20513.0,26617.0,28167.0,33224.0,35112.0,39572.0,44392.0,47262.0,51811.0,55687.0,61700.0,67395.0,70416.0,74880.0,77190.0,80433.0,85243.0,7725.0
7,3567,POWELL Alun,PUDSEY &amp; BRAMLEY AC,SEH,8,GB,85894.0,5403.0,7238.0,11115.0,14736.0,18732.0,20447.0,26600.0,28193.0,33582.0,35723.0,40481.0,44714.0,47300.0,51359.0,55141.0,62169.0,69211.0,72366.0,76860.0,79360.0,82266.0,85894.0,8376.0
8,3737,OLIVAR ROLDAN Aurelio-Antonio,TRAIL MAGAZINE,SEH,9,ES,86314.0,5350.0,7286.0,11126.0,14948.0,,22070.0,28852.0,30723.0,36018.0,38730.0,42577.0,45986.0,48090.0,51319.0,54680.0,60410.0,66145.0,70802.0,75000.0,77461.0,80627.0,86314.0,8796.0
9,2040,DARMAILLACQ Nicolas,GIPSPORT AVENTURE,SEH,10,FR,86521.0,6181.0,8217.0,12773.0,17060.0,,23319.0,29362.0,30806.0,35474.0,37545.0,41321.0,45457.0,47734.0,51143.0,54492.0,60710.0,67628.0,70610.0,75180.0,77597.0,82071.0,86521.0,9003.0
10,1531,GUILLON Antoine,GO2-LA SPORTIVA-TAILL'AVENTURE,SEH,11,FR,86606.0,5817.0,7807.0,11954.0,15872.0,,22047.0,28467.0,30000.0,34995.0,36822.0,40944.0,44873.0,47302.0,51017.0,54540.0,60841.0,67633.0,71269.0,77940.0,80295.0,82895.0,86606.0,9088.0
11,1504,KABURAKI Tsuyoshi,TEAM THE NORTH FACE,SEH,12,JP,87865.0,5755.0,7728.0,11859.0,15693.0,,22285.0,28849.0,30657.0,36015.0,38450.0,42634.0,46311.0,48895.0,52669.0,56710.0,63440.0,69939.0,73626.0,78060.0,80309.0,83394.0,87865.0,10347.0
12,3755,GIRARD Matthieu,UFO,SEH,13,CH,88337.0,5593.0,7552.0,11643.0,15679.0,,21899.0,28198.0,29995.0,35158.0,37194.0,41511.0,45817.0,48387.0,52018.0,56058.0,63047.0,69260.0,72789.0,77400.0,80415.0,83769.0,88337.0,10819.0
13,3103,BARNES Pablo,ATLETICA VARAZZE,SEH,14,AR,88627.0,5461.0,7380.0,11274.0,14923.0,,21024.0,27449.0,29035.0,34263.0,36189.0,41130.0,45084.0,47667.0,51891.0,55909.0,63757.0,70785.0,73979.0,78660.0,80963.0,84211.0,88627.0,11109.0
