,bib,name,team,category,rank,nationality,time,Charme,StGer,Conta,Balme,Bonhom,Chap,Seigne,Combal,MtFavre,Checr,Courm,Berton,Bonatti,Arnuva,Ferret,Fouly,Champ,Bovine,Trient,Catogn,Vallor,TeteVnt,Fleg,Cham,timediff
0,4048,JORNET BURGADA Kilian,SALOMON SANTIVERI,ESH,1,ES,75419.0,4629.0,6527.0,9957.0,13482.0,16876.0,18868.0,23873.0,25553.0,28017.0,29776.0,31460.0,34902.0,38072.0,40259.0,43579.0,46838.0,52920.0,57955.0,60421.0,63826.0,65667.0,71563.0,72859.0,75419.0,0.0
1,5,SHERPA Dachhiri-Dawa,LES TRAILLEURS DU MT BLANC,SEH,2,NP,79012.0,4657.0,6526.0,9957.0,13751.0,17480.0,19364.0,25009.0,26867.0,29240.0,30867.0,32558.0,36250.0,39744.0,42040.0,45638.0,49408.0,54967.0,60166.0,62726.0,66763.0,68871.0,75090.0,76824.0,79012.0,3593.0
2,2176,CHORIER Julien,EAC ACTIVASPORT,SEH,3,FR,81095.0,4866.0,6899.0,10422.0,14071.0,17815.0,19791.0,25403.0,27039.0,29601.0,31217.0,33045.0,36890.0,40355.0,42806.0,46527.0,50326.0,56118.0,61749.0,64829.0,68691.0,71144.0,76944.0,78554.0,81095.0,5676.0
3,4051,KABURAKI Tsuyoshi,THE NORTH FACE,V1H,4,JP,83447.0,5169.0,7506.0,11361.0,15212.0,19017.0,21143.0,26894.0,28671.0,31612.0,33505.0,35418.0,39585.0,43366.0,45733.0,49320.0,52916.0,59115.0,64780.0,67636.0,71568.0,73672.0,79306.0,80901.0,83447.0,8028.0
4,3399,ROMON MARTINEZ Jesus Maria,MELLO MENDI TALDEA,SEH,5,ES,85288.0,4661.0,6626.0,10456.0,14368.0,18107.0,20105.0,26040.0,27754.0,30644.0,32410.0,34152.0,38237.0,42186.0,44661.0,48368.0,52240.0,58910.0,65292.0,68377.0,72592.0,74934.0,80650.0,82315.0,85288.0,9869.0
5,11,GUILLON Antoine,TEAM LAFUMA-GREEN MAGMA- GO2-TAILL'AVENTURE,SEH,6,FR,86248.0,5298.0,7491.0,11513.0,15695.0,19737.0,21508.0,27701.0,29357.0,32360.0,34137.0,35038.0,40217.0,44218.0,46539.0,50450.0,54125.0,60714.0,66451.0,69304.0,73744.0,75880.0,81962.0,83533.0,86248.0,10829.0
6,13,GIRARD Matthieu,UFO,SEH,7,CH,87597.0,5346.0,7794.0,11773.0,15817.0,19743.0,21517.0,27179.0,29023.0,32050.0,33719.0,35658.0,39789.0,43650.0,46100.0,49598.0,53482.0,60320.0,66455.0,69609.0,,77741.0,83496.0,84891.0,87597.0,12178.0
7,2801,NEMETH Csaba,NOMADSPORT,V1H,8,HU,87662.0,4802.0,7006.0,10895.0,14872.0,18744.0,20669.0,26407.0,28176.0,30896.0,32941.0,35177.0,39547.0,43647.0,46125.0,49664.0,53622.0,60596.0,66508.0,69939.0,74475.0,76900.0,83306.0,84928.0,87662.0,12243.0
8,2904,CALMBACH Uli,,V1H,9,DE,87680.0,5577.0,8106.0,12436.0,16575.0,20557.0,22836.0,28915.0,30919.0,33685.0,35807.0,37891.0,42278.0,45745.0,48120.0,51669.0,55881.0,62204.0,68359.0,71729.0,76106.0,78464.0,83976.0,85435.0,87680.0,12261.0
9,3407,TAGLIAFERRI Massimo,POLISPORTIVA PAGNONA,SEH,10,IT,87862.0,5008.0,7104.0,11085.0,15029.0,18855.0,20824.0,26746.0,28409.0,31354.0,33118.0,34382.0,39244.0,43052.0,45384.0,49367.0,52966.0,59865.0,66195.0,69268.0,,76786.0,83492.0,85055.0,87862.0,12443.0
