,bib,name,team,category,rank,nationality,time,stGer,conta,balme,crxBon,chap,seign,combal,mtFav,checr,courm,bert,bonat,arnuv,ferret,fouly,champ,bovine,trient,catog,vallo,teteVnt,fleg,cham,timediff
0,1,JORNET BURGADA Kilian,SALOMON SANTIVERI,ESH,1,ES,77598.0,6853.0,10353.0,13464.0,16713.0,18582.0,23883.0,25564.0,28119.0,29883.0,31511.0,35221.0,39032.0,41600.0,45074.0,48903.0,54363.0,59880.0,62776.0,66805.0,68793.0,73730.0,75011.0,77598.0,0.0
1,20,CHAIGNEAU Sebastien,,SEH,2,FR,81405.0,7009.0,10791.0,14568.0,18310.0,20393.0,26223.0,27860.0,30499.0,32304.0,34256.0,38246.0,42047.0,44399.0,47765.0,51520.0,57811.0,63341.0,66094.0,70105.0,72209.0,77642.0,79147.0,81405.0,3807.0
2,4,KABURAKI Tsuyoshi,THE NORTH FACE JAPAN,V1H,3,JP,82116.0,7432.0,11228.0,14762.0,18532.0,20638.0,26163.0,27857.0,30652.0,32308.0,34178.0,40318.0,43659.0,45810.0,49357.0,52836.0,58404.0,63592.0,66396.0,70395.0,72652.0,78193.0,79523.0,82116.0,4518.0
3,9,CALMBACH Uli,DAV GOPPINGEN,V1H,4,DE,83449.0,7518.0,11441.0,15178.0,19084.0,21110.0,26798.0,28580.0,31265.0,33109.0,35070.0,38976.0,42623.0,45034.0,48377.0,52203.0,58452.0,64157.0,67192.0,71267.0,73662.0,79171.0,80658.0,83449.0,5851.0
4,2191,TRIVEL Lionel,ATOUSPORT,SEH,5,FR,84868.0,7586.0,11527.0,15490.0,19460.0,21524.0,27638.0,29495.0,32359.0,34248.0,36254.0,40493.0,44189.0,46576.0,50227.0,54123.0,60327.0,66124.0,68816.0,72733.0,74958.0,80435.0,81963.0,84868.0,7270.0
5,3951,YOKOYAMA Minehiro,THE NORTH FACE JAPAN,V1H,6,JP,84974.0,7764.0,11640.0,15507.0,19530.0,21668.0,27666.0,29501.0,32412.0,34259.0,36261.0,40562.0,44192.0,46579.0,50230.0,54092.0,60311.0,66189.0,69112.0,73284.0,75823.0,81044.0,82371.0,84974.0,7376.0
6,8,NEMETH Csaba,NOMADSPORT,V1H,7,HU,85556.0,6896.0,10579.0,14060.0,18101.0,20164.0,25743.0,27621.0,30340.0,32291.0,34479.0,38515.0,42420.0,44875.0,48558.0,52561.0,58785.0,64609.0,67860.0,72713.0,75202.0,81280.0,82830.0,85556.0,7958.0
7,2782,YAMAMOTO Kenichi,HAGLOFS,SEH,8,JP,87469.0,7732.0,11868.0,15839.0,19985.0,21956.0,28368.0,29909.0,32726.0,34505.0,36654.0,40544.0,44188.0,46574.0,50658.0,54742.0,61455.0,67267.0,70191.0,74534.0,77017.0,82884.0,84500.0,87469.0,9871.0
8,3802,GIRAUD-SAUVEUR Herve,TEAM LAFUMA,V1H,9,FR,89006.0,7139.0,10761.0,14601.0,18451.0,20404.0,,27720.0,30493.0,32302.0,34253.0,39084.0,43246.0,45715.0,49833.0,54515.0,61570.0,67751.0,70671.0,75123.0,77517.0,84040.0,85874.0,89006.0,11408.0
9,2074,HOHENADLER Armin,TV TRAUNSTEIN,SEH,10,DE,89439.0,7466.0,11587.0,15616.0,19740.0,21954.0,27895.0,29765.0,32684.0,34696.0,37254.0,41233.0,45023.0,47631.0,51445.0,55653.0,62612.0,68703.0,72093.0,76470.0,78948.0,84658.0,86353.0,89439.0,11841.0
10,2477,MOEHL Kristin,PATAGONIA ULTRARUNNING TEAM,SEF,11,US,89761.0,8021.0,12284.0,16082.0,20307.0,22819.0,29014.0,31128.0,34147.0,36358.0,38462.0,42622.0,46258.0,48656.0,52676.0,56921.0,63817.0,69697.0,72921.0,77072.0,79555.0,85152.0,86737.0,89761.0,12163.0
11,2144,REY Patrick,,V1H,12,FR,91158.0,7549.0,11638.0,15714.0,19744.0,21884.0,28117.0,29985.0,33042.0,34845.0,36822.0,41421.0,45279.0,47751.0,51831.0,56034.0,62758.0,69072.0,72257.0,77103.0,79303.0,86014.0,87794.0,91158.0,13560.0
12,3713,VILLIERS Jim,,SEH,13,AU,91529.0,7002.0,11169.0,15198.0,19225.0,21433.0,27711.0,29651.0,32974.0,34763.0,36649.0,41537.0,45511.0,48237.0,52534.0,56315.0,63393.0,69921.0,72945.0,78244.0,80404.0,86736.0,88510.0,91529.0,13931.0
13,23,MARTINEZ DE MARSAY Jordi,Unió Excursionista de Cataluña Prat de Llobregat,SEH,14,ES,91903.0,7248.0,11006.0,14811.0,18812.0,20833.0,26848.0,28585.0,31581.0,33486.0,35527.0,40445.0,47168.0,49630.0,53486.0,57428.0,64792.0,71061.0,74073.0,78794.0,81237.0,87100.0,88685.0,91903.0,14305.0
14,21,BAUMANN Ryan,SWISS SKI,SEH,15,CH,92540.0,7798.0,11935.0,15831.0,19954.0,22032.0,27932.0,29777.0,32499.0,34326.0,36167.0,40399.0,44326.0,46769.0,50436.0,54602.0,61278.0,68150.0,71765.0,77136.0,80270.0,87441.0,89349.0,92540.0,14942.0
15,6,GUILLON Antoine,TEAM LAFUMA- GREEN MAGMA- GO2,SEH,16,FR,92740.0,7608.0,11639.0,15977.0,20309.0,22324.0,28721.0,30477.0,33658.0,35533.0,37489.0,41867.0,46061.0,48603.0,52869.0,56837.0,64029.0,70541.0,73858.0,78496.0,80994.0,87499.0,89347.0,92740.0,15142.0
16,58,ROBRES MONFORTE Francisco,SUS  SCROFA,SEH,17,ES,93228.0,8178.0,12485.0,16408.0,20771.0,22967.0,29261.0,31470.0,34413.0,36505.0,38554.0,42989.0,46785.0,49313.0,53337.0,57693.0,65059.0,71393.0,74739.0,79516.0,82030.0,88143.0,89862.0,93228.0,15630.0
17,14,HAWKER Elisabeth,,SEF,18,GB,93882.0,6926.0,10915.0,15182.0,19545.0,22004.0,28183.0,30475.0,33600.0,35590.0,37724.0,42561.0,46356.0,48553.0,52451.0,56143.0,63692.0,71057.0,74043.0,78871.0,81732.0,88595.0,90408.0,93882.0,16284.0
18,4073,JUREK Scott,,SEH,19,US,94035.0,6861.0,10576.0,14021.0,17741.0,19727.0,26429.0,27717.0,30231.0,31795.0,33565.0,37898.0,41915.0,44330.0,48319.0,52262.0,58849.0,66195.0,69289.0,76151.0,79114.0,86666.0,89489.0,94035.0,16437.0
19,2118,GRANT Joe,,SEH,20,US,94036.0,7321.0,11121.0,14967.0,18833.0,20727.0,26839.0,28538.0,31262.0,32970.0,34772.0,39979.0,43747.0,46478.0,50830.0,55300.0,63897.0,70111.0,73446.0,78500.0,81472.0,88661.0,90353.0,94036.0,16438.0
20,3628,BAUD Patrice,,V1H,21,FR,94842.0,7763.0,11995.0,16112.0,20262.0,22325.0,28711.0,30479.0,33463.0,35279.0,37205.0,41924.0,45898.0,48536.0,52645.0,56669.0,63406.0,70151.0,73854.0,79053.0,81815.0,89097.0,91118.0,94842.0,17244.0
21,3203,MILLS Stuart,BRIGHTON AND HOVE ATHLETIC CLUB,V1H,22,GB,95353.0,7351.0,11530.0,15968.0,20803.0,22983.0,30139.0,32304.0,36089.0,37824.0,40006.0,44693.0,48328.0,51228.0,55468.0,59167.0,65826.0,72321.0,75871.0,80658.0,83160.0,90125.0,92016.0,95353.0,17755.0
22,2499,CERCUEIL Michel,CAF ISERE,SEH,23,FR,95473.0,7743.0,11967.0,16077.0,20772.0,23066.0,29903.0,32416.0,35730.0,37619.0,39808.0,45704.0,49451.0,52149.0,56048.0,60183.0,66926.0,73397.0,76548.0,81710.0,84414.0,90823.0,92462.0,95473.0,17875.0
