,bib,name,team,category,rank,nationality,time,Delevre,st Ger,Conta,Balme,Bonhom,Chapieu,Seigne,Combal,M Favre,Checrou,Courm,Bertone,Bonatti,Arnuva,Ferret,Fouly,Champex,Martign,Trient,Catogne,Vallo,Argent,Cham,timediff
0,1501,JORNET BURGADA Kilian,SALOMON,SEH,1,ES,74203.0,4640.0,6877.0,10355.0,13724.0,17171.0,19051.0,24251.0,25768.0,28048.0,29535.0,31002.0,34228.0,37161.0,39270.0,42491.0,46346.0,52242.0,58455.0,63282.0,66914.0,68729.0,71130.0,74203.0,0.0
1,1516,KARRERA ARANBURU Iker,SALOMON SANTIVERY,SEH,2,ES,74730.0,4640.0,6876.0,10357.0,13732.0,17178.0,19050.0,24256.0,25764.0,28054.0,29554.0,31002.0,34226.0,37161.0,39258.0,42489.0,46346.0,52253.0,58452.0,63429.0,66914.0,68878.0,71134.0,74730.0,527.0
2,1504,CHAIGNEAU Sebastien,THE NORTH FACE,SEH,3,FR,75341.0,4846.0,7065.0,10525.0,13887.0,17287.0,19049.0,24259.0,25762.0,28045.0,29533.0,31003.0,34347.0,37404.0,39418.0,42599.0,46458.0,52258.0,58459.0,63652.0,67214.0,69177.0,71747.0,75341.0,1138.0
3,1530,NEMETH Csaba,VIDI.HU,V1H,4,HU,81348.0,4747.0,7016.0,10365.0,13722.0,17173.0,19088.0,24254.0,25756.0,28043.0,29536.0,31206.0,34676.0,37885.0,40060.0,43523.0,47986.0,53921.0,60831.0,67084.0,71375.0,73927.0,77009.0,81348.0,7145.0
4,1531,SA Carlos,AMIGOS DA MONTANHA,SEH,5,PT,82104.0,4704.0,7000.0,10538.0,13916.0,17340.0,19190.0,24519.0,26058.0,28590.0,30087.0,31742.0,35487.0,38572.0,40657.0,44125.0,48525.0,56691.0,63204.0,69240.0,72985.0,75266.0,78008.0,82104.0,7901.0
5,6,BOHARD Patrick,,V1H,6,FR,84715.0,5308.0,7633.0,11453.0,15156.0,19137.0,21005.0,27129.0,28563.0,31478.0,33055.0,34718.0,38486.0,41866.0,44057.0,47921.0,52258.0,58124.0,64934.0,70332.0,74579.0,77307.0,80305.0,84715.0,10512.0
6,1505,KABURAKI Tsuyoshi,THE NORTH FACE,V1H,7,JP,85264.0,5062.0,7534.0,11277.0,14827.0,18652.0,20746.0,26439.0,28005.0,30659.0,32294.0,34017.0,37817.0,41228.0,43564.0,47334.0,51754.0,58123.0,65342.0,71081.0,75768.0,78552.0,81519.0,85264.0,11061.0
7,5,GUILLON Antoine,TEAM LAFUMA-GREEN MAGAMA- GO2,V1H,8,FR,86210.0,5232.0,7590.0,11336.0,14907.0,18994.0,20987.0,27015.0,28561.0,31434.0,33126.0,34734.0,38837.0,42475.0,44811.0,48744.0,53297.0,59621.0,66408.0,72243.0,76617.0,79034.0,81965.0,86210.0,12007.0
8,1542,FAIVRE François,,SEH,9,FR,86823.0,5469.0,7911.0,11939.0,15830.0,19782.0,21966.0,27715.0,29345.0,32007.0,33717.0,35341.0,39219.0,42569.0,44787.0,48471.0,52952.0,59444.0,66562.0,72241.0,76537.0,79075.0,82159.0,86823.0,12620.0
9,11,YAMAMOTO Kenichi,HAGLOFS,SEH,10,JP,87340.0,5265.0,7634.0,11446.0,15358.0,19452.0,21477.0,27394.0,28925.0,31665.0,33338.0,34932.0,38887.0,42519.0,44814.0,48888.0,53564.0,60374.0,67643.0,73506.0,78137.0,80542.0,83584.0,87340.0,13137.0
10,1528,FOOTE Michael,,SEH,11,US,87912.0,5586.0,8353.0,12409.0,16312.0,20172.0,22328.0,27941.0,29537.0,32176.0,33876.0,35642.0,39496.0,42939.0,45319.0,49176.0,54099.0,60688.0,67018.0,72665.0,77089.0,80198.0,83169.0,87912.0,13709.0
11,1557,DIPPACHER Matthias,,SEH,12,DE,88703.0,5009.0,7491.0,11213.0,14804.0,18622.0,20626.0,26250.0,27801.0,30618.0,32182.0,34021.0,37765.0,41235.0,43802.0,47960.0,53045.0,59717.0,66815.0,72894.0,77492.0,80482.0,83686.0,88703.0,14500.0
12,19,HAWKER Elisabeth,THE NORTH FACE,SEF,13,GB,90120.0,4861.0,7259.0,11072.0,14930.0,19195.0,21558.0,27298.0,28765.0,31606.0,33248.0,34839.0,39303.0,43002.0,45212.0,49287.0,53882.0,60685.0,67669.0,73800.0,78485.0,81562.0,85005.0,90120.0,15917.0
13,1562,PEDATELLA Nicholas,,SEH,14,US,93093.0,5676.0,8352.0,12385.0,16320.0,20293.0,22494.0,28588.0,30169.0,32950.0,34586.0,36244.0,40778.0,44196.0,46619.0,50692.0,55556.0,62501.0,70094.0,76435.0,81643.0,84602.0,87981.0,93093.0,18890.0
14,1560,CERCUEIL Michel,ALE,SEH,15,FR,94765.0,5484.0,7925.0,12163.0,16360.0,20852.0,23334.0,30057.0,31721.0,34654.0,36400.0,38249.0,42755.0,46287.0,48867.0,53098.0,58021.0,65167.0,73044.0,79765.0,,87873.0,90802.0,94765.0,20562.0
15,30,AURREKOETXEA URIARTE Eneko,BRINEAN,SEH,16,ES,95012.0,6023.0,8578.0,12904.0,17243.0,21516.0,23606.0,30083.0,31750.0,34844.0,36567.0,38044.0,42734.0,46574.0,49251.0,53439.0,58106.0,65339.0,73048.0,79580.0,84692.0,87599.0,90693.0,95012.0,20809.0
16,14,BRAVAIS Bastien,TEAM NEW BALANCE &amp; BVSPORT,SEH,17,FR,95695.0,5488.0,8099.0,12056.0,15851.0,19988.0,22297.0,28993.0,30660.0,34118.0,36060.0,37820.0,42512.0,46907.0,49929.0,55125.0,60049.0,67736.0,74455.0,80691.0,85565.0,88123.0,91206.0,95695.0,21492.0
17,1548,TIDD John,,V1H,18,ES,95705.0,5806.0,8364.0,12851.0,17324.0,21765.0,23956.0,30351.0,31998.0,35257.0,36818.0,38460.0,43583.0,46979.0,49555.0,53770.0,58364.0,65160.0,72850.0,79354.0,84545.0,87639.0,91435.0,95705.0,21502.0
18,3611,CANTIN Frédéric,TEAM OPEL,SEH,19,FR,96278.0,5732.0,8155.0,12251.0,16188.0,20445.0,22369.0,28859.0,30551.0,33580.0,35235.0,36987.0,41731.0,45446.0,47921.0,51966.0,56751.0,63995.0,72262.0,78907.0,84383.0,87476.0,91271.0,96278.0,22075.0
19,3337,GONCALVES João,PAULO ALBUQUERQUE SEGUROS,SEH,20,PT,97187.0,5616.0,8278.0,12470.0,16789.0,21392.0,23988.0,30489.0,32059.0,34883.0,36495.0,38201.0,43180.0,47185.0,49925.0,54098.0,58938.0,65992.0,74093.0,80180.0,84641.0,88089.0,91582.0,97187.0,22984.0
20,2347,SARDA Stephane,,SEH,21,FR,98886.0,6112.0,8713.0,12773.0,16704.0,21004.0,23175.0,29927.0,31558.0,34661.0,36406.0,38124.0,43400.0,47331.0,49929.0,54124.0,59150.0,66238.0,74913.0,81897.0,86759.0,90365.0,93862.0,98886.0,24683.0
21,2606,PILLA Jack,,V2H,22,US,99326.0,5448.0,8082.0,12290.0,16373.0,20708.0,23029.0,29305.0,30978.0,34003.0,35786.0,37735.0,42571.0,46368.0,49128.0,53327.0,58410.0,65774.0,74917.0,81937.0,86928.0,90703.0,94767.0,99326.0,25123.0
22,1544,THIERY Benoit,LES TRAILERS DU GAVOT,SEH,23,FR,100040.0,5375.0,7780.0,11836.0,15905.0,19998.0,22118.0,28833.0,30585.0,33656.0,35298.0,37096.0,42213.0,46895.0,49570.0,53709.0,58407.0,66045.0,74098.0,81543.0,86765.0,90366.0,94582.0,100040.0,25837.0
23,2229,MATHIEU Jean Claude,team LAFUMA,V1H,23,FR,100040.0,5233.0,7633.0,11772.0,16830.0,21514.0,24222.0,30459.0,32096.0,34970.0,36883.0,38802.0,43115.0,47708.0,50629.0,54624.0,60048.0,67682.0,76341.0,82228.0,86754.0,90342.0,94574.0,100040.0,25837.0
24,37,MARTINEZ URRUZOLA Nerea,SALOMON SANTIVERI,SEF,25,ES,100534.0,5292.0,7711.0,11773.0,15773.0,20282.0,22531.0,28976.0,30653.0,33838.0,35656.0,37515.0,41835.0,45797.0,48433.0,52836.0,57940.0,65349.0,73476.0,80809.0,86766.0,90359.0,94565.0,100534.0,26331.0
25,2,WOLFE Mike,THE NORTH FACE,SEH,26,US,100907.0,4690.0,7022.0,10355.0,13720.0,17170.0,19125.0,24248.0,25771.0,28122.0,29730.0,31363.0,35256.0,38555.0,40751.0,44407.0,49145.0,57629.0,67012.0,74804.0,80989.0,87202.0,92622.0,100907.0,26704.0
26,26,MARCEL Rémy,3D TRAIL / ENDURANCE SHOP GRENOBLE,SEH,27,FR,102044.0,5830.0,8486.0,12718.0,16942.0,21316.0,23672.0,30142.0,31911.0,35251.0,37169.0,38996.0,44227.0,48339.0,51040.0,55485.0,60853.0,68272.0,76742.0,83774.0,89437.0,92622.0,96212.0,102044.0,27841.0
27,3575,NEAR Chris,HAGLOFS INOV8,SEH,28,GB,102346.0,5387.0,7888.0,11979.0,16042.0,20007.0,22028.0,28487.0,30215.0,33188.0,35157.0,37069.0,41564.0,45429.0,48312.0,52591.0,58051.0,65945.0,75813.0,81783.0,87820.0,91683.0,96811.0,102346.0,28143.0
28,1950,SIRAUDIN Mathieu,,SEH,29,FR,102415.0,6748.0,9946.0,14732.0,19323.0,24010.0,26365.0,33101.0,34988.0,38220.0,40192.0,42073.0,46918.0,50791.0,53520.0,57752.0,62911.0,70211.0,79135.0,86078.0,91308.0,94308.0,97802.0,102415.0,28212.0
29,3628,DOLEGOWSKI Krzysztof,BIEGANIE,SEH,30,PL,102461.0,6315.0,9249.0,13877.0,18267.0,22621.0,25089.0,31262.0,33131.0,36091.0,38013.0,39961.0,44308.0,48362.0,51325.0,55149.0,60478.0,68275.0,76348.0,82958.0,88653.0,92854.0,97600.0,102461.0,28258.0
30,1526,PICEU AFRICA Darcy,Pearl Izumi,SEF,31,US,102628.0,5608.0,8409.0,12754.0,17376.0,21699.0,24110.0,30539.0,32495.0,35842.0,37898.0,40024.0,44382.0,48592.0,51664.0,56345.0,61856.0,70988.0,79707.0,86045.0,91092.0,94377.0,97913.0,102628.0,28425.0
31,1573,ZANCHI Marco,,SEH,32,IT,103034.0,,,,15849.0,20131.0,,28584.0,30099.0,33170.0,35082.0,,42154.0,48277.0,53893.0,57830.0,,,77519.0,,89665.0,,97834.0,103034.0,28831.0
32,3075,LOCATELLI Serge,,V1H,33,FR,103100.0,5958.0,8562.0,12867.0,17102.0,21401.0,23698.0,30469.0,32184.0,35105.0,37016.0,38935.0,44459.0,48357.0,51190.0,55338.0,60769.0,68332.0,76917.0,84087.0,89319.0,92960.0,97254.0,103100.0,28897.0
33,2554,KEITH Eoin,URI,V1H,34,IE,104090.0,6182.0,8981.0,13326.0,17419.0,21907.0,24774.0,31102.0,32817.0,35809.0,37638.0,39496.0,44473.0,48211.0,50947.0,55105.0,60542.0,68635.0,78622.0,86080.0,91608.0,94858.0,98845.0,104090.0,29887.0
34,3485,FRECHILLA TOLEDO Raul,TIERRA TRAGAME,SEH,35,ES,104410.0,6228.0,9108.0,13850.0,18514.0,23497.0,25747.0,33099.0,34874.0,38134.0,39939.0,41796.0,47839.0,52134.0,55155.0,59488.0,64446.0,71586.0,79733.0,86392.0,91727.0,94861.0,98927.0,104410.0,30207.0
35,3048,BIOLLAZ daniel,LES TRAILERS DU MOLE,V1H,36,FR,104411.0,6633.0,9395.0,14385.0,19147.0,23665.0,25774.0,32738.0,34435.0,37652.0,39321.0,41166.0,46690.0,50507.0,53214.0,57879.0,62818.0,70956.0,79715.0,86392.0,91724.0,94863.0,98922.0,104411.0,30208.0
36,1796,SOUCHON Frederic,RACING LETI,V1H,37,FR,104647.0,6250.0,8988.0,13396.0,17805.0,22171.0,24530.0,31395.0,33085.0,36129.0,38025.0,40346.0,45792.0,49681.0,52452.0,56769.0,61867.0,69938.0,79098.0,86686.0,91821.0,95125.0,99065.0,104647.0,30444.0
37,2199,VALLOSIO Sergio,TEAM LAFUMA ITALIA,SEH,38,IT,105163.0,6330.0,9366.0,13986.0,18179.0,22810.0,25372.0,31851.0,33811.0,36748.0,38892.0,41217.0,45813.0,49790.0,52567.0,56937.0,62167.0,69907.0,79513.0,87176.0,93233.0,96678.0,100233.0,105163.0,30960.0
38,2262,HARDEL Fabrice,,SEH,39,FR,105275.0,5372.0,7875.0,11834.0,15670.0,19821.0,22298.0,28490.0,30212.0,33144.0,35139.0,37102.0,42371.0,46033.0,48824.0,53712.0,59033.0,67325.0,76379.0,84463.0,90512.0,94921.0,99251.0,105275.0,31072.0
39,1515,JAIME Scott,PEARL IZUMI,V1H,40,US,105433.0,5324.0,7791.0,11837.0,16007.0,19981.0,22195.0,28493.0,30028.0,32644.0,34336.0,36080.0,40584.0,44207.0,46890.0,52133.0,57460.0,65737.0,75259.0,83168.0,89393.0,94045.0,98888.0,105433.0,31230.0
40,1599,BERETTA Roberto,TRB BRESCIA,V1H,41,IT,105655.0,6475.0,9519.0,14202.0,18848.0,23468.0,25651.0,32522.0,34127.0,37641.0,39348.0,41167.0,46787.0,50947.0,54021.0,59130.0,64556.0,72337.0,81839.0,89001.0,94568.0,97636.0,100970.0,105655.0,31452.0
41,3559,GINE CID Albert,UEC TORTOSA,SEH,42,ES,105928.0,6270.0,9202.0,13847.0,18357.0,22881.0,25614.0,32124.0,33895.0,36894.0,38755.0,40676.0,45621.0,49942.0,52442.0,56549.0,61762.0,69574.0,77901.0,85780.0,91961.0,95973.0,100156.0,105928.0,31725.0
