,bib,name,team,category,rank,nationality,time,Delev,StGer,Conta,Balme,conta r,bellevu,houches,gare pp,argenti,-1km,arrivee,timediff
0,1508,D'HAENE François,,SEH,1,FR,37956.0,4423.0,6407.0,9478.0,12513.0,17528.0,23011.0,24528.0,28814.0,34578.0,,37956.0,0.0
1,1504,BUUD Jonas,IFK MORA,SEH,2,SE,39799.0,4521.0,6471.0,9551.0,12651.0,18083.0,24005.0,25644.0,30396.0,36564.0,39590.0,39799.0,1843.0
2,11,FOOTE Michael,THE NORTH FACE,SEH,3,US,40740.0,4536.0,6793.0,10309.0,13974.0,19649.0,25502.0,27181.0,31813.0,37540.0,40535.0,40740.0,2784.0
3,5,SA Carlos,BERG,SEH,4,PT,40959.0,4412.0,6412.0,9551.0,12724.0,18577.0,25006.0,26741.0,31190.0,37520.0,40685.0,40959.0,3003.0
4,4,NEMETH Csaba,VIDI.HU,V1H,5,HU,41838.0,4516.0,6603.0,9877.0,13063.0,18938.0,25052.0,26854.0,31604.0,38089.0,41614.0,41838.0,3882.0
5,1555,REY Jean-Yves,Salomon,V1H,6,CH,42228.0,4421.0,6412.0,9650.0,13093.0,18756.0,25003.0,26852.0,31849.0,38339.0,41965.0,42228.0,4272.0
6,9,FAIVRE François,,SEH,7,FR,42692.0,4782.0,6834.0,10309.0,13858.0,19351.0,25525.0,27172.0,32346.0,39031.0,42462.0,42692.0,4736.0
7,1812,LEJEUNE Arnaud,"HOKA, +WATT, LOU TAVAN",SEH,8,FR,42797.0,4681.0,6651.0,10149.0,13624.0,19276.0,25529.0,27168.0,32309.0,39034.0,42538.0,42797.0,4841.0
8,1776,BUFFARD Sébastien,,SEH,9,FR,43067.0,4801.0,6860.0,10277.0,13921.0,19614.0,26304.0,27957.0,33014.0,39463.0,42809.0,43067.0,5111.0
9,7,KABURAKI Tsuyoshi,,V1H,10,JP,43384.0,4785.0,6917.0,10289.0,13798.0,19429.0,25793.0,27433.0,32771.0,39416.0,43144.0,43384.0,5428.0
10,1558,TEIXEIRA Armando Jorge,SALOMON PORTUGAL,SEH,11,PT,43556.0,4726.0,6772.0,10154.0,13617.0,19481.0,26232.0,27994.0,33139.0,39913.0,43320.0,43556.0,5600.0
11,1531,DOMINGUEZ LEDO Javier,KIROLAK - CM GAZTEIZ,SEH,12,ES,43952.0,4756.0,6797.0,10254.0,13742.0,19367.0,25821.0,27431.0,32957.0,40134.0,43727.0,43952.0,5996.0
12,1501,BES Jordi,SELECCIÓ CATALANA-SALOMON,SEH,13,ES,44075.0,4622.0,6808.0,10255.0,13893.0,19525.0,26207.0,28001.0,33169.0,40274.0,43851.0,44075.0,6119.0
13,18,TIDD John,,V1H,14,ES,44686.0,4935.0,6947.0,10530.0,14285.0,20355.0,27245.0,28910.0,34415.0,41171.0,44464.0,44686.0,6730.0
14,1802,HERCOG Piotr,SALOMON SUUNTO POLAND,SEH,15,PL,45122.0,5016.0,7130.0,10565.0,14092.0,20556.0,27592.0,29340.0,34806.0,41438.0,44906.0,45122.0,7166.0
15,13,HAWKER Elisabeth,,SEF,16,GB,45133.0,4737.0,6925.0,10436.0,14243.0,20714.0,27210.0,29012.0,34346.0,41564.0,44917.0,45133.0,7177.0
16,12,DIPPACHER Matthias,,SEH,17,DE,45657.0,4907.0,6912.0,10617.0,14762.0,20895.0,27519.0,29356.0,34789.0,41497.0,45408.0,45657.0,7701.0
17,1793,DYBEK Pawel,INOV-8,SEH,18,PL,46235.0,5037.0,7398.0,11023.0,14729.0,20839.0,27797.0,29813.0,34832.0,42683.0,46028.0,46235.0,8279.0
18,1520,ALESON Imanol,URRUTI SPORT (ANAITASUNA M.B.),V1H,19,ES,46283.0,5018.0,7220.0,11078.0,14878.0,21084.0,28160.0,29970.0,35685.0,42606.0,46049.0,46283.0,8327.0
19,1823,MOALIC Ronan,TEAM VIBRAM,SEH,20,FR,46633.0,5186.0,7379.0,11412.0,15759.0,22137.0,28821.0,30447.0,36062.0,43025.0,46397.0,46633.0,8677.0
20,1515,POMMERET Ludovic,HOKA ALTECSPORT,SEH,21,FR,46845.0,4709.0,6727.0,10557.0,14974.0,21211.0,28374.0,30283.0,36374.0,43194.0,46614.0,46845.0,8889.0
21,3636,BARANANO URKIJO Gaizka,AMURRIO TRAIL TALDEA,SEH,22,ES,46971.0,5226.0,7474.0,11329.0,15278.0,22050.0,28993.0,31064.0,36367.0,43159.0,46745.0,46971.0,9015.0
22,1785,COLLOMB-PATTON Bertrand,CAEN ATHLETIC CLUB,SEH,23,FR,46988.0,5222.0,7437.0,11161.0,15174.0,21286.0,28194.0,29950.0,36083.0,43092.0,46731.0,46988.0,9032.0
23,3706,KADUNC David,SALOMON TEAM - TEKASKI FORUM,SEH,24,SI,47270.0,5108.0,7364.0,11463.0,15780.0,22158.0,29053.0,31077.0,36510.0,43646.0,47060.0,47270.0,9314.0
24,1790,DOHNERT Rudi,RUNNERS POINT,V1H,25,DE,47594.0,5457.0,7715.0,11507.0,15629.0,21882.0,29051.0,31101.0,36984.0,43852.0,47367.0,47594.0,9638.0
25,1787,DESPLANCHES Frédéric,,SEH,26,FR,47618.0,4741.0,6874.0,10561.0,14432.0,20927.0,28029.0,30251.0,35840.0,43795.0,47377.0,47618.0,9662.0
26,1779,CANETTA Filippo,TEAM SALOMON CARNIFAST,V1H,27,IT,47649.0,5102.0,7381.0,10972.0,14807.0,21334.0,28852.0,30729.0,36803.0,43875.0,47412.0,47649.0,9693.0
27,1828,PAQUIER Patrice,,V1H,28,FR,47764.0,5171.0,7343.0,10966.0,14896.0,21253.0,28771.0,30702.0,36816.0,43951.0,47545.0,47764.0,9808.0
28,34,KEITH Eoin,,V1H,29,IE,47765.0,5211.0,7490.0,11066.0,14759.0,20968.0,28076.0,29965.0,35877.0,43654.0,47531.0,47765.0,9809.0
29,1527,CANEPA Francesca,Team Vibram,V1F,30,IT,47821.0,5286.0,7621.0,11442.0,15236.0,21910.0,29100.0,31169.0,36799.0,44299.0,47581.0,47821.0,9865.0
30,1512,JULIA BONMATI Arnau,COLLA EXCURSIONISTA SANT JULIA DEL LLOR,SEH,31,ES,47873.0,5160.0,7406.0,11128.0,15171.0,21475.0,28700.0,30481.0,36346.0,44055.0,47571.0,47873.0,9917.0
