,bib,name,team,category,rank,nationality,time,Delev,StGer,Conta,Balme,Bonhom,Chapieu,Seigne,Combal,MtFavre,Checrou,Courm,Bertone,Bonatti,Arnuva,GdColF,Fouly,Champex,Bovine,Trient,Catogne,Vallo,TaVents,Flégère,Arrivé,timediff
0,2212,THEVENARD Xavier,ASICS,SEH,1,FR,74097.0,4719.0,6785.0,10456.0,13710.0,17338.0,19017.0,,25409.0,27870.0,29223.0,30663.0,34345.0,37397.0,39567.0,42770.0,46080.0,51792.0,56525.0,59225.0,62795.0,64720.0,70223.0,71304.0,74097.0,0.0
1,2202,HERAS HERNANDEZ Miguel Angel,SALOMON,SEH,2,ES,75248.0,4771.0,6957.0,10696.0,13869.0,17422.0,19074.0,24096.0,25419.0,27764.0,29219.0,30662.0,33985.0,37067.0,39306.0,43054.0,46668.0,52291.0,57058.0,59933.0,63767.0,65793.0,71170.0,72509.0,75248.0,1151.0
2,12,DOMINGUEZ LEDO Javier,KIROLAK-CM  GAZTEIZ,SEH,3,ES,76658.0,4872.0,6929.0,10659.0,13902.0,17449.0,19049.0,24273.0,25612.0,28096.0,29563.0,31053.0,34786.0,37900.0,40019.0,43516.0,46981.0,53211.0,58150.0,60921.0,64965.0,67021.0,72442.0,73839.0,76658.0,2561.0
3,2203,OLSON Timothy,THE NORTH FACE,SEH,4,US,77903.0,4769.0,6989.0,10876.0,14072.0,17493.0,19378.0,24639.0,26336.0,28847.0,30582.0,32263.0,36095.0,39565.0,41816.0,45264.0,49447.0,55979.0,60886.0,63783.0,67616.0,69563.0,73872.0,75184.0,77903.0,3806.0
4,3,FOOTE Michael,THE NORTH FACE,SEH,5,US,78799.0,5085.0,7334.0,11303.0,14732.0,18480.0,20372.0,25724.0,27228.0,29577.0,31237.0,32899.0,36507.0,40232.0,42578.0,46172.0,50061.0,56286.0,61003.0,64050.0,67614.0,69624.0,74372.0,75791.0,78799.0,4702.0
5,2206,CHORIER Julien,,SEH,6,FR,79691.0,4573.0,6577.0,10365.0,13671.0,17345.0,19122.0,24099.0,25416.0,27763.0,29210.0,30665.0,34228.0,37399.0,39566.0,42886.0,46622.0,52959.0,58674.0,61707.0,66244.0,68929.0,74838.0,76459.0,79691.0,5594.0
6,44,BOSIO Rory,THE NORTH FACE,SEF,7,US,81446.0,5228.0,7518.0,11842.0,15707.0,19592.0,21448.0,26885.0,28394.0,30992.0,32538.0,34247.0,37967.0,41431.0,43772.0,47455.0,51449.0,57179.0,61869.0,64975.0,69201.0,71433.0,77192.0,78621.0,81446.0,7349.0
7,23,COLLOMB-PATTON Bertrand,CAEN ATHLETIC CLUB,SEH,8,FR,83656.0,4809.0,6908.0,11057.0,14606.0,18309.0,20055.0,25718.0,27245.0,29876.0,31549.0,33237.0,37057.0,40799.0,43347.0,47146.0,51154.0,57286.0,62488.0,65594.0,69794.0,72176.0,78476.0,80320.0,83656.0,9559.0
8,8,LEJEUNE Arnaud,"TEAM HOKA, LOU TAVAN",SEH,9,FR,83885.0,4764.0,6744.0,10726.0,14346.0,18152.0,19797.0,25276.0,26676.0,29213.0,30661.0,32179.0,36275.0,39788.0,42094.0,46260.0,50155.0,56665.0,62512.0,65595.0,70304.0,72752.0,79083.0,80686.0,83885.0,9788.0
9,14,TIDD John,,V2H,10,ES,83907.0,5474.0,7751.0,12097.0,15762.0,19723.0,21561.0,27264.0,28749.0,31563.0,33210.0,34885.0,38961.0,42478.0,44821.0,48808.0,52737.0,58753.0,64019.0,67116.0,71517.0,73726.0,79614.0,81110.0,83907.0,9810.0
10,2207,BRAGG Jez,THE NORTH FACE,SEH,11,GB,85801.0,5217.0,7450.0,11994.0,15715.0,19736.0,21775.0,27684.0,29288.0,32091.0,33891.0,35645.0,39745.0,43415.0,45950.0,49946.0,53851.0,60475.0,65912.0,69006.0,73349.0,75657.0,81373.0,82800.0,85801.0,11704.0
11,20,MOALIC Ronan,Team VIBRAM,V1H,12,FR,86044.0,5211.0,7355.0,12052.0,15816.0,19686.0,21527.0,27615.0,29195.0,32145.0,33845.0,35603.0,40376.0,44075.0,46545.0,50848.0,54564.0,61476.0,67301.0,70329.0,74828.0,76937.0,82303.0,83583.0,86044.0,11947.0
12,2210,TAMANG Aite,Nepalese Army,SEH,13,NP,86242.0,5194.0,7413.0,11727.0,15407.0,19490.0,21184.0,26636.0,28213.0,30831.0,32451.0,34111.0,38172.0,41657.0,44230.0,48232.0,52379.0,59666.0,65916.0,69008.0,73838.0,75984.0,81761.0,83185.0,86242.0,12145.0
13,2645,BROGNIART Stéphane,THE NORTH FACE,SEH,14,FR,86531.0,4898.0,7114.0,11083.0,14779.0,18611.0,20632.0,26297.0,27955.0,30593.0,32450.0,34223.0,38177.0,41848.0,44377.0,48209.0,52377.0,59149.0,64750.0,68357.0,72970.0,75765.0,81826.0,83473.0,86531.0,12434.0
14,3692,JOHANSSON Johan,TRANGSVIKEN,SEH,15,SE,86733.0,5183.0,7428.0,11806.0,15584.0,19612.0,21511.0,27881.0,29685.0,32606.0,34396.0,36380.0,40489.0,44437.0,46897.0,50850.0,54519.0,60890.0,66285.0,69432.0,73612.0,76236.0,82314.0,83640.0,86733.0,12636.0
15,2226,MAYER Alexandre,RAID LIGHT,SEH,16,FR,86734.0,5046.0,7349.0,11332.0,14902.0,18980.0,20985.0,26938.0,28678.0,31629.0,33533.0,35617.0,39975.0,44037.0,46640.0,50534.0,54554.0,61378.0,67044.0,70056.0,74169.0,76438.0,82053.0,83628.0,86734.0,12637.0
16,73,JAMES Andrew,SALOMON / NEWBURY ATHLETICS CLUB,SEH,17,GB,87277.0,4896.0,7115.0,11032.0,14532.0,18487.0,20352.0,25927.0,27469.0,30489.0,32311.0,34124.0,39334.0,43391.0,46281.0,50856.0,54932.0,61294.0,66657.0,69933.0,74639.0,76982.0,82980.0,84473.0,87277.0,13180.0
17,2227,TSANG Siu Keung,THE NORTH FACE,SEH,18,HK,87358.0,5297.0,7555.0,11937.0,15830.0,20230.0,22137.0,28678.0,30323.0,33493.0,35197.0,36913.0,41728.0,45654.0,48226.0,52351.0,56020.0,62516.0,68060.0,71193.0,75573.0,77721.0,83281.0,84604.0,87358.0,13261.0
18,2251,PICAS Núria,BUFF,SEF,19,ES,88340.0,5234.0,7459.0,11654.0,15501.0,19654.0,21529.0,27709.0,29331.0,32327.0,34219.0,35830.0,40175.0,44179.0,46982.0,51410.0,55693.0,62315.0,68023.0,71240.0,75633.0,77975.0,83886.0,85380.0,88340.0,14243.0
19,29,KEITH Eoin,Ultrarunning Ireland,V1H,20,IE,89052.0,5202.0,7427.0,11397.0,14939.0,19180.0,21071.0,26857.0,28350.0,31141.0,32970.0,34889.0,38957.0,42848.0,45437.0,49625.0,53928.0,60914.0,66778.0,70419.0,75431.0,78060.0,84331.0,86019.0,89052.0,14955.0
20,37,ROCA RODRIGUEZ Emma,CEC,V1F,21,ES,89294.0,5220.0,7515.0,11715.0,15587.0,19842.0,21869.0,28038.0,29802.0,32889.0,34888.0,36764.0,41074.0,45292.0,48077.0,52047.0,56032.0,62712.0,68475.0,71748.0,76442.0,78795.0,84746.0,86350.0,89294.0,15197.0
21,2241,CALISTO Gonzalo,UNIVERSIDAD SAN FRANCISCO,SEH,22,EC,91106.0,5128.0,7355.0,11774.0,15831.0,20123.0,22209.0,28315.0,29981.0,32693.0,34646.0,36681.0,41090.0,44870.0,47659.0,51776.0,55870.0,62229.0,68086.0,71682.0,76342.0,78769.0,85390.0,87366.0,91106.0,17009.0
22,2651,HORST Daniel,MÜCKE &amp; MCLANE - GROJOS LTF ELVERSBERG,SEH,23,DE,91417.0,6021.0,8452.0,12839.0,16827.0,21304.0,23493.0,29866.0,31666.0,34506.0,36498.0,38561.0,43486.0,47713.0,50529.0,54338.0,58148.0,64667.0,70569.0,73881.0,78486.0,80952.0,87186.0,88702.0,91417.0,17320.0
23,54,JOUBAND Frederic,ROUTE ET SENTIER,V1H,24,FR,91505.0,5418.0,7832.0,12294.0,16017.0,20196.0,22283.0,28773.0,30512.0,33535.0,35366.0,37430.0,42247.0,46351.0,49196.0,53494.0,57298.0,63926.0,70260.0,73705.0,78200.0,80484.0,86857.0,88549.0,91505.0,17408.0
24,4335,IRAIZOZ Aitor,TXURREGI,SEH,25,ES,91706.0,5636.0,8063.0,12810.0,17301.0,21667.0,23795.0,30630.0,32414.0,35730.0,37872.0,40213.0,45823.0,50425.0,53357.0,57827.0,62006.0,68546.0,73517.0,76194.0,80361.0,82364.0,87823.0,89028.0,91706.0,17609.0
25,3268,HABEMONT Jean-Lou,JOGGING CLUB SEYSSOIS,SEH,26,FR,92068.0,5844.0,8408.0,13311.0,17549.0,21936.0,24223.0,30982.0,32810.0,35855.0,37891.0,39887.0,44630.0,48746.0,51475.0,55246.0,59329.0,66837.0,73164.0,76385.0,80761.0,83038.0,88211.0,89577.0,92068.0,17971.0
26,24,KADUNC David,SALOMON TEAM - TEKASKI FORUM,SEH,27,SI,92139.0,5464.0,7827.0,12402.0,16079.0,19919.0,21908.0,28021.0,29725.0,32755.0,34719.0,36762.0,41419.0,45575.0,48277.0,52373.0,56611.0,64124.0,70060.0,73737.0,78616.0,81373.0,87713.0,89232.0,92139.0,18042.0
27,3269,SAEZ MARQUES Francisco,GR33-TOTTRAIL,SEH,28,ES,92427.0,5625.0,8007.0,12920.0,17229.0,21549.0,23612.0,30180.0,31829.0,35336.0,37210.0,39232.0,44478.0,48536.0,51338.0,55435.0,59321.0,65968.0,71790.0,75326.0,79930.0,82367.0,88486.0,89774.0,92427.0,18330.0
