,bib,name,team,category,rank,nationality,time,Delev,StGer,Conta,Balme,Bonhom,Chapieu,Seigne,Combal,MtFavre,Checrou,Courm,Bertone,Bonatti,Arnuva,GdColF,Fouly,Champex,Giète,Trient,Catogne,Vallo,TaVents,Flégère,Arrivée,timediff
0,2,D'HAENE François,TEAM SALOMON INTERNATIONAL,SEH,1,FR,72704.0,4405.0,6436.0,9930.0,13258.0,16832.0,18496.0,23523.0,24880.0,27288.0,28711.0,30205.0,33628.0,36845.0,39043.0,42389.0,45841.0,51137.0,56473.0,58083.0,61610.0,63520.0,68402.0,70068.0,72704.0,0.0
1,5,KARRERA ARANBURU Iker,SALOMON INTERNACIONAL,V1H,2,ES,75342.0,4405.0,6438.0,9933.0,13320.0,16834.0,18499.0,23522.0,24894.0,27291.0,28708.0,30206.0,33626.0,36878.0,39053.0,42388.0,45869.0,51768.0,58014.0,59726.0,63493.0,65494.0,71048.0,72754.0,75342.0,2638.0
2,8,CASTANER BERNAT Tofol,SALOMON INT.,V1H,2,ES,75342.0,4408.0,6440.0,9930.0,13262.0,16837.0,18499.0,23525.0,24892.0,27289.0,28707.0,30207.0,33805.0,36938.0,39059.0,42393.0,45854.0,51747.0,57972.0,59647.0,63488.0,65489.0,71041.0,72784.0,75342.0,2638.0
3,18,SCHLARB Jason,,SEH,4,US,77984.0,4710.0,6802.0,10558.0,14162.0,17784.0,19592.0,24932.0,26528.0,29130.0,30733.0,32450.0,36050.0,39241.0,41449.0,44987.0,48727.0,54263.0,60600.0,62480.0,66460.0,68672.0,74004.0,75713.0,77984.0,5280.0
4,21,GRINIUS Gediminas,INOV8,SEH,5,LT,78604.0,4783.0,6941.0,10588.0,13996.0,17783.0,19597.0,24845.0,26339.0,28860.0,30537.0,32350.0,36083.0,39499.0,41762.0,45380.0,49150.0,54873.0,60903.0,62777.0,66719.0,68956.0,74353.0,76174.0,78604.0,5900.0
5,29,TUCKEY Andrew,,SEH,6,AU,81626.0,4712.0,6797.0,10520.0,14094.0,18192.0,19985.0,25493.0,27041.0,29748.0,31330.0,33096.0,37089.0,40539.0,42862.0,46753.0,50589.0,56414.0,62649.0,64515.0,68766.0,71047.0,76930.0,78818.0,81626.0,8922.0
6,64,AMDAHL Sondre,ROMERIKE ULTRALOPERKLUBB,V1H,7,NO,81757.0,4661.0,6739.0,10510.0,13951.0,17627.0,19408.0,24847.0,26325.0,28906.0,30523.0,32278.0,36184.0,39633.0,42075.0,46053.0,49650.0,55706.0,62232.0,64100.0,68559.0,70907.0,76901.0,78807.0,81757.0,9053.0
7,27,SA Carlos,DESNIVEL POSITIVO,V1H,8,PT,82207.0,4943.0,7220.0,11122.0,14957.0,18949.0,20790.0,26484.0,28061.0,30793.0,32364.0,34104.0,38138.0,41538.0,44223.0,47908.0,51662.0,57810.0,64717.0,66536.0,70514.0,72576.0,77675.0,79513.0,82207.0,9503.0
8,75,COLLOMB-PATTON Bertrand,CAEN ATHLETIC CLUB,SEH,9,FR,82314.0,4646.0,6742.0,10722.0,14580.0,18662.0,20513.0,26220.0,27672.0,30294.0,31948.0,33804.0,37703.0,41450.0,43879.0,47390.0,50989.0,56925.0,63395.0,65381.0,69762.0,72100.0,77994.0,79900.0,82314.0,9610.0
9,158,BROGNIART Stéphane,THE NORTH FACE,SEH,10,FR,82625.0,4759.0,6968.0,10680.0,14159.0,17881.0,19726.0,25179.0,26767.0,29436.0,31113.0,32847.0,36697.0,40237.0,42782.0,46331.0,50275.0,56519.0,63506.0,65761.0,70064.0,72496.0,78210.0,80077.0,82625.0,9921.0
