,bib,name,team,category,rank,nationality,time,Delev,StGer,Conta,Balme,Bonhom,Chapieu,Seigne,Combal,MtFavre,Checrou,Courm1,Courm2,Bertone,Bonatti,Arnuva,GdColF,Fouly,Champex,Giete,Trient,Catogne,Vallo,TaVents,Flegere,Arrivee,timediff
0,8,THEVENARD Xavier,ASICS,SEH,1,FR,76155.0,4486.0,6548.0,10055.0,13479.0,17048.0,18777.0,23846.0,26993.0,29399.0,30900.0,32426.0,32628.0,35924.0,38894.0,41037.0,44292.0,47392.0,52573.0,58284.0,59896.0,63811.0,65822.0,71759.0,73603.0,76155.0,0.0
1,3,HERNANDO ALZAGA Luis Alberto,ADIDAS TRAIL RUNNING,SEH,2,ES,79037.0,4395.0,6449.0,10050.0,13507.0,17044.0,18770.0,23848.0,27015.0,29407.0,30904.0,32439.0,32680.0,36100.0,39193.0,41323.0,44836.0,48859.0,54732.0,61745.0,63475.0,67849.0,69764.0,75151.0,76757.0,79037.0,2882.0
2,7,LANEY David,NIKE TRAIL ELITE,SEH,3,US,79182.0,4810.0,7144.0,10851.0,14141.0,17979.0,20053.0,25504.0,29681.0,32377.0,34166.0,36040.0,36273.0,39969.0,43317.0,45769.0,49017.0,52546.0,58447.0,63706.0,65451.0,68885.0,70876.0,75768.0,77223.0,79182.0,3027.0
3,14,SWANSON Seth,THE NORTH FACE,SEH,4,US,79210.0,4561.0,6738.0,10346.0,13754.0,17400.0,19230.0,24192.0,27685.0,30092.0,31693.0,33318.0,33521.0,36781.0,40152.0,42384.0,45508.0,49094.0,54966.0,61203.0,63259.0,67473.0,69865.0,75166.0,76996.0,79210.0,3055.0
4,15,ANTOLINOS Fabien,DMA TERRE DE RUNNING,SEH,5,FR,80906.0,4585.0,6758.0,10466.0,14138.0,17898.0,19678.0,24964.0,28450.0,31119.0,32831.0,34512.0,34847.0,38304.0,41781.0,44142.0,47794.0,51208.0,57171.0,63416.0,65211.0,69293.0,71383.0,76801.0,78438.0,80906.0,4751.0
5,43,CLAVERY Erik,TEAM ADIDAS,SEH,6,FR,81928.0,4425.0,6435.0,10073.0,13583.0,17535.0,19325.0,24810.0,28527.0,31128.0,32832.0,34520.0,34676.0,38371.0,41867.0,44226.0,47983.0,51541.0,57454.0,63906.0,65708.0,69836.0,71944.0,77580.0,79432.0,81928.0,5773.0
6,48,SOLE DUOCASTELLA Francesc,A.E.MATXACUCA,SEH,7,ES,82403.0,4585.0,6694.0,10464.0,14150.0,17899.0,19639.0,24967.0,28448.0,31122.0,32710.0,34389.0,34911.0,38345.0,41784.0,44140.0,47795.0,51210.0,57172.0,63522.0,65438.0,69462.0,71660.0,77743.0,79631.0,82403.0,6248.0
7,34,SMITH Ryan,ROCKY MOUNTAIN RUNNERS,SEH,8,GB,83407.0,4654.0,6782.0,10735.0,14525.0,18251.0,20073.0,25515.0,29444.0,32051.0,33847.0,35726.0,35949.0,39690.0,43395.0,45767.0,49038.0,52557.0,58944.0,65357.0,67096.0,70949.0,73027.0,78946.0,80692.0,83407.0,7252.0
8,45,MAYER Alexandre,ISOSTAR LES SASIES,SEH,9,FR,85493.0,4578.0,6680.0,10425.0,13941.0,17672.0,19371.0,24827.0,28404.0,31130.0,32755.0,34503.0,35025.0,38585.0,42269.0,44753.0,48154.0,51604.0,57821.0,64493.0,66370.0,70726.0,73040.0,79757.0,81905.0,85493.0,9338.0
9,113,HERCOG Piotr,SALOMON SUUNTO POLAND,SEH,10,PL,87054.0,4981.0,7196.0,10972.0,14592.0,18510.0,20431.0,26379.0,30232.0,33152.0,34975.0,36758.0,36994.0,40804.0,44395.0,46653.0,50416.0,54121.0,60594.0,67690.0,69657.0,74000.0,76516.0,82620.0,84445.0,87054.0,10899.0
