,bib,name,team,category,rank,nationality,time,Delevret,St Gervais,Contamines,Balme,Bonhomme,Chapieu,Seigne,Combal,MtFavre,Checrou,Courm1,Courm2,Villaz,Bertone,Bonatti,Arnuva,GdColF,Fouly,Champex,Giete,Trient,Catogne,Vallo,TaVents,Flegere,Arrivee,timediff
0,25,POMMERET Ludovic,HOKA - CABB,V1H,1,FR,79202.0,4584,6590.0,10444.0,15014.0,19818.0,21886.0,27517.0,30278.0,32652.0,34110.0,35803.0,36083.0,,39447.0,42821.0,45195.0,48447.0,51636.0,57383.0,63057.0,64675.0,68084.0,69932.0,75037.0,76659.0,79202.0,0.0
1,9,GRINIUS Gediminas,TEAM VIBRAM,SEH,2,LT,80765.0,4780,6912.0,10654.0,14267.0,18204.0,19999.0,25599.0,28844.0,31615.0,33273.0,35013.0,35218.0,,39106.0,42556.0,44790.0,48355.0,51590.0,57073.0,62979.0,64701.0,68742.0,70789.0,76517.0,78248.0,80765.0,1563.0
2,12,TOLLEFSON Tim,NIKE TRAIL,SEH,3,US,81028.0,4983,7231.0,10954.0,14519.0,18341.0,20209.0,26219.0,29883.0,32435.0,34107.0,35888.0,36025.0,,39822.0,43401.0,45578.0,49003.0,52530.0,58356.0,64517.0,66118.0,70164.0,72246.0,77094.0,78723.0,81028.0,1826.0
3,7,LANEY David,NIKE TRAIL,SEH,4,US,81674.0,5021,7242.0,10967.0,14395.0,18174.0,20187.0,26213.0,29965.0,32707.0,34554.0,36505.0,36716.0,,40372.0,43644.0,45922.0,49424.0,53522.0,58916.0,64694.0,66486.0,70424.0,72347.0,77671.0,79635.0,81674.0,2472.0
4,28,DOMINGUEZ LEDO Javier,TEAM VIBRAM,V1H,5,ES,81856.0,4859,7009.0,10906.0,14514.0,18330.0,20200.0,25967.0,29028.0,31584.0,33204.0,34942.0,35037.0,,38910.0,42519.0,45054.0,48744.0,52107.0,58294.0,64402.0,66269.0,70505.0,72610.0,78109.0,79811.0,81856.0,2654.0
5,6,MILLER Zach,NIKE,SEH,6,US,82466.0,4428,6596.0,10152.0,13449.0,17093.0,19156.0,24333.0,27573.0,29892.0,31459.0,33140.0,33281.0,,36810.0,40228.0,42583.0,46031.0,49620.0,56499.0,62620.0,64672.0,68708.0,71216.0,77327.0,79750.0,82466.0,3264.0
6,47,CAMUS Sébastien,TEAM GARMIN ADVENTURE,SEH,7,FR,83563.0,4580,6620.0,10379.0,14384.0,18170.0,19837.0,26065.0,29175.0,31691.0,33320.0,35189.0,35592.0,,39350.0,42677.0,44904.0,48317.0,51574.0,57585.0,64515.0,66617.0,71350.0,73341.0,79880.0,81144.0,83563.0,4361.0
7,30,CHORIER Julien,TEAM HOKA,SEH,8,FR,83614.0,4620,6657.0,10293.0,13928.0,17647.0,19234.0,25013.0,28099.0,30765.0,32397.0,34097.0,34298.0,,38013.0,41470.0,43965.0,47556.0,50779.0,56615.0,63111.0,65054.0,69823.0,72304.0,78613.0,80712.0,83614.0,4412.0
8,40,ORNATI Giulio,TEAM SALOMON,SEH,9,IT,84338.0,5121,7385.0,11533.0,15417.0,19428.0,21234.0,27359.0,30494.0,33228.0,34907.0,36617.0,36911.0,,40929.0,44622.0,46895.0,50638.0,54076.0,60171.0,66704.0,68590.0,72759.0,74832.0,80340.0,81957.0,84338.0,5136.0
9,91,JIMENEZ LLORENS Juan Maria,GREEN POWER SPORTS TEAM,SEH,10,ES,84438.0,5098,7296.0,11423.0,15236.0,19035.0,20811.0,27145.0,30320.0,33044.0,34758.0,36545.0,37016.0,,41378.0,45163.0,47190.0,50428.0,53433.0,59606.0,66193.0,68000.0,72464.0,74607.0,80415.0,82025.0,84438.0,5236.0
10,69,ZANCHI Marco,TEAM VIBRAM,V1H,11,IT,85483.0,5118,7385.0,11450.0,15478.0,19431.0,21238.0,27435.0,30601.0,33297.0,34890.0,36535.0,37055.0,,41012.0,44605.0,46786.0,50375.0,53564.0,59685.0,66702.0,68590.0,73013.0,75170.0,81135.0,82867.0,85483.0,6281.0
11,56,RODRIGUEZ BODAS Francisco Javier,TIERRA TRAGAME,V1H,12,ES,85821.0,5082,7247.0,11248.0,15223.0,19037.0,20827.0,27007.0,30320.0,33045.0,34760.0,36540.0,37058.0,,41145.0,44904.0,47201.0,50851.0,54426.0,60575.0,67391.0,69480.0,73957.0,76165.0,81671.0,83377.0,85821.0,6619.0
12,86,BERNAD BLASCO Victor,AML SPORT HG - MERIDIANO 0,SEH,13,ES,86005.0,5126,7310.0,11412.0,15291.0,19215.0,20950.0,27171.0,30318.0,33077.0,34761.0,36559.0,37078.0,,41016.0,44813.0,47045.0,50629.0,54074.0,60684.0,68552.0,70428.0,74450.0,76509.0,82001.0,83691.0,86005.0,6803.0
13,93,TEIXEIRA Armando Jorge,SALOMON SUUNTO PORTUGAL,V1H,14,PT,87742.0,4899,7160.0,11097.0,14807.0,18591.0,20420.0,26266.0,29505.0,32347.0,34009.0,35801.0,36178.0,,39896.0,43401.0,45767.0,49496.0,53211.0,59486.0,66526.0,68650.0,73677.0,76272.0,82576.0,84584.0,87742.0,8540.0
14,118,LARROTCHA Juan Jose,MURCIA CHALLENGE,V1H,15,ES,88508.0,4846,7014.0,10907.0,14748.0,18754.0,20692.0,26512.0,30041.0,32878.0,34633.0,36478.0,36861.0,,40854.0,44610.0,46866.0,50701.0,54422.0,60868.0,68184.0,70442.0,75143.0,77612.0,83629.0,85727.0,88508.0,9306.0
15,63,OBARA Masatoshi,,SEH,16,JP,88742.0,4830,7040.0,10930.0,14815.0,18756.0,20717.0,26832.0,30212.0,32890.0,34671.0,36502.0,36908.0,,40618.0,44386.0,46818.0,50649.0,54426.0,60798.0,67940.0,70218.0,74948.0,77353.0,84078.0,85952.0,88742.0,9540.0
16,57,GIBLIN Paul,TEAM NATHAN UK,SEH,17,GB,90185.0,4996,7273.0,11509.0,15579.0,19457.0,21412.0,27284.0,30388.0,33093.0,34805.0,36546.0,37119.0,,40855.0,44496.0,46835.0,50641.0,54351.0,60981.0,68317.0,70591.0,75758.0,78376.0,84575.0,86862.0,90185.0,10983.0
17,80,PORCHE Guillaume,,SEH,18,FR,90190.0,4977,7186.0,11341.0,15280.0,19226.0,21161.0,27227.0,30508.0,33368.0,35149.0,36968.0,37906.0,,41736.0,45799.0,48289.0,52230.0,55765.0,62663.0,69741.0,72012.0,76648.0,79188.0,85325.0,87306.0,90190.0,10988.0
18,136,HALL Damian,,V1H,19,GB,90731.0,5368,7731.0,12111.0,16165.0,20248.0,22334.0,28139.0,31893.0,34593.0,36433.0,38419.0,38799.0,,42790.0,46357.0,48748.0,52661.0,56349.0,63193.0,70456.0,72700.0,77302.0,79601.0,85342.0,87441.0,90731.0,11529.0
19,3,CHAVEROT Caroline,TEAM HOKA,V1F,20,FR,90940.0,5101,7405.0,11553.0,15553.0,19378.0,21222.0,27205.0,30493.0,33212.0,34934.0,36873.0,37126.0,,41218.0,45002.0,47422.0,51524.0,55413.0,62520.0,70039.0,72406.0,76997.0,79380.0,85826.0,87969.0,90940.0,11738.0
20,23,HUSER Andrea,MAMMUT.CH,V1F,21,CH,91376.0,5366,7596.0,11903.0,15867.0,19943.0,21707.0,28297.0,31469.0,34576.0,36251.0,38083.0,38223.0,,42622.0,46486.0,48875.0,52956.0,56587.0,63326.0,70563.0,72690.0,77763.0,80131.0,86561.0,88559.0,91376.0,12174.0
21,27,SMITH Ryan,ROCKY MOUNTAIN RUNNERS,SEH,22,GB,92253.0,4837,6997.0,10970.0,14906.0,18931.0,21072.0,27959.0,32633.0,36178.0,38471.0,41003.0,41977.0,,45985.0,50245.0,52991.0,56980.0,62377.0,68490.0,74863.0,76766.0,80439.0,82730.0,88212.0,90004.0,92253.0,13051.0
22,137,MOLIN Ivano,TEAM PEGGIORI SCARPA - MICO - U.S. TRE CIME,V1H,23,IT,92432.0,5192,7524.0,11820.0,16174.0,20320.0,22275.0,28797.0,32821.0,35835.0,37644.0,39538.0,40360.0,,44412.0,48105.0,50668.0,54336.0,58176.0,65029.0,72466.0,74597.0,79149.0,81655.0,87608.0,89629.0,92432.0,13230.0
23,134,GIL LOPEZ Roberto,WAA team-C.M.GR33,V1H,24,ES,93124.0,5500,7944.0,12289.0,16383.0,20472.0,22325.0,28477.0,31607.0,34347.0,36158.0,37913.0,38257.0,,42642.0,46583.0,49114.0,52971.0,56409.0,63592.0,71824.0,74168.0,79498.0,82063.0,88637.0,90523.0,93124.0,13922.0
24,78,COLLOMB-PATTON Bertrand,TEAM HOKA - CAEN ATHLETIC CLUB,V1H,25,FR,93391.0,5015,7174.0,11475.0,15720.0,19752.0,21592.0,27692.0,31002.0,33841.0,35728.0,37923.0,38158.0,,42180.0,46528.0,48943.0,52594.0,56146.0,62679.0,69801.0,72118.0,77386.0,80266.0,87341.0,89930.0,93391.0,14189.0
25,68,SHERPA Sangé,WAA Team,SEH,26,NP,94363.0,4896,6939.0,11030.0,15382.0,19351.0,21095.0,27060.0,30297.0,33048.0,34664.0,36260.0,36853.0,,40720.0,44702.0,47230.0,51709.0,55878.0,63265.0,72348.0,74728.0,79831.0,82358.0,88892.0,91119.0,94363.0,15161.0
26,153,SAEZ MARQUES Francisco,TEAM SPORT HG-AMLSPORT,SEH,27,ES,94794.0,5327,7616.0,12045.0,16241.0,20358.0,22201.0,28128.0,32135.0,35071.0,36872.0,38936.0,39273.0,,43592.0,47493.0,50216.0,54491.0,58269.0,65249.0,72773.0,75276.0,80049.0,82726.0,89192.0,91440.0,94794.0,15592.0
27,169,DAVID Benjamin,TEAM SAVOIE ENDURANCE,SEH,28,FR,95085.0,5039,7385.0,11450.0,15572.0,19463.0,21493.0,27625.0,31004.0,33678.0,35519.0,37411.0,37923.0,,41647.0,45798.0,48567.0,54175.0,59898.0,66393.0,74321.0,76735.0,81444.0,84096.0,89801.0,91971.0,95085.0,15883.0
