,bib,name,team,category,rank,nationality,time,Delevret,St-Gervais,Contamines,La Balme,Bonhomme,Chapieux,Col Seigne,Lac Combal,Mt-Favre,Checruit,Courmayeur,Bertone,Bonatti,Arnouvaz,Col Ferret,La Fouly,Champex La,La Giète,Trient,Les Tseppe,Vallorcine,Col Montet,Flégère,Arrivée,timediff
0,4,D'HAENE François,Salomon,SEH,1,FR,68514.0,4310.0,6305.0,9669.0,12820.0,16087.0,17611.0,22682.0,23871.0,26135.0,27549.0,28938.0,32069.0,35040.0,37064.0,40272.0,43466.0,48260.0,53705.0,55499.0,57977.0,60673.0,62402.0,66189.0,68514.0,0.0
1,2,JORNET BURGADA Kilian,Salomon,SEH,2,ES,69419.0,4200.0,6261.0,9661.0,12825.0,16158.0,17679.0,22684.0,23874.0,26137.0,27556.0,28969.0,32250.0,35308.0,37433.0,40734.0,43960.0,48832.0,54786.0,56482.0,58996.0,61514.0,63261.0,67167.0,69419.0,905.0
2,14,TOLLEFSON Tim,Hoka,SEH,3,US,71580.0,4524.0,6518.0,9917.0,13310.0,16864.0,18605.0,24051.0,25360.0,27765.0,29285.0,30833.0,34188.0,37287.0,39321.0,,45972.0,50903.0,56755.0,58320.0,60976.0,63585.0,65343.0,69461.0,71580.0,3066.0
3,7,THEVENARD Xavier,Asics,SEH,4,FR,72219.0,4311.0,6308.0,9671.0,12825.0,16686.0,18443.0,24070.0,25485.0,27938.0,29471.0,31074.0,34702.0,37918.0,40178.0,43757.0,46859.0,51764.0,57534.0,59333.0,61955.0,64520.0,66204.0,70084.0,72219.0,3705.0
4,1,WALMSLEY Jim,Hoka,SEH,5,US,72698.0,4199.0,6135.0,9585.0,12800.0,16063.0,17585.0,22683.0,23830.0,25838.0,27232.0,28714.0,31910.0,35046.0,37058.0,40270.0,43791.0,50102.0,58263.0,59732.0,62088.0,64323.0,66191.0,70415.0,72698.0,4184.0
5,17,CAPELL Pau,The North Face / Buff,SEH,6,ES,72763.0,4396.0,6406.0,9837.0,13033.0,16555.0,18293.0,23678.0,24957.0,27449.0,28859.0,30308.0,33851.0,37174.0,39471.0,43314.0,46794.0,51765.0,57527.0,59311.0,61958.0,64643.0,66483.0,70740.0,72763.0,4249.0
6,9,BOWMAN Dylan,The North Face,SEH,7,US,73188.0,4458.0,6540.0,9982.0,13310.0,16862.0,18625.0,24029.0,25361.0,27761.0,29283.0,30832.0,34123.0,37184.0,39282.0,,46326.0,51489.0,57300.0,59047.0,61891.0,64542.0,66454.0,70881.0,73188.0,4674.0
7,13,GRINIUS Gediminas,VIBRAM,SEH,8,LT,77059.0,4454.0,6501.0,9889.0,12972.0,16671.0,18461.0,23888.0,25264.0,27837.0,29444.0,31145.0,,38491.0,40815.0,44693.0,48285.0,53727.0,60049.0,62007.0,65093.0,68124.0,70089.0,74681.0,77059.0,8545.0
8,8,MILLER Zach,THE NORTH FACE,SEH,9,US,77312.0,4197.0,6468.0,9815.0,12992.0,16392.0,18267.0,23474.0,24857.0,27308.0,28848.0,30457.0,34103.0,37483.0,40002.0,43754.0,47341.0,52597.0,58579.0,60711.0,63916.0,67238.0,69985.0,74765.0,77312.0,8798.0
9,32,GAMITO  Jordi,COMPRESSPORT,SEH,10,ES,78271.0,4528.0,6504.0,9910.0,13244.0,16854.0,18582.0,24387.0,25775.0,28451.0,30007.0,31544.0,35471.0,39075.0,41456.0,45300.0,48588.0,54450.0,61002.0,62728.0,65718.0,68673.0,70709.0,75508.0,78271.0,9757.0
10,33,HAWKER Scott,HOKA ONE ONE/ COMPRESSPORT,SEH,11,NZ,78947.0,4519.0,6638.0,10270.0,14011.0,17684.0,19653.0,25286.0,26781.0,29359.0,31033.0,32784.0,37034.0,40458.0,42721.0,46398.0,50176.0,55885.0,62350.0,64088.0,66741.0,69952.0,72005.0,76666.0,78947.0,10433.0
11,84,HALL Damian,INOV-8,V1H,12,GB,79232.0,4733.0,7020.0,10804.0,14545.0,18307.0,20123.0,25893.0,27276.0,29909.0,31526.0,33180.0,36710.0,39932.0,42024.0,45780.0,48974.0,54659.0,60980.0,62757.0,66055.0,68974.0,71385.0,76743.0,79232.0,10718.0
12,20,HERMANSEN Didrik,ASICS,SEH,13,NO,79938.0,4492.0,6496.0,10026.0,13611.0,17677.0,19424.0,25492.0,26997.0,29872.0,31272.0,32726.0,,40625.0,42907.0,46921.0,50133.0,55371.0,62050.0,63817.0,67192.0,70361.0,,77516.0,79938.0,11424.0
13,18,LANEY David,NIKE TRAIL,SEH,14,US,80422.0,4595.0,6861.0,10586.0,13992.0,17687.0,19897.0,25813.0,27579.0,30388.0,32524.0,34507.0,38330.0,41957.0,44214.0,48016.0,51600.0,57012.0,63028.0,65043.0,67759.0,70937.0,72840.0,77721.0,80422.0,11908.0
14,40,PASERO Mikael,New Balance,SEH,15,FR,80914.0,4563.0,6634.0,10264.0,13800.0,17673.0,19413.0,25240.0,26625.0,29275.0,30872.0,32493.0,36295.0,39866.0,42076.0,45950.0,49481.0,55741.0,62571.0,64493.0,67610.0,70918.0,73194.0,78212.0,80914.0,12400.0
15,15,SYMONDS Andrew,SCOTT,SEH,16,GB,81392.0,4728.0,7020.0,10812.0,14472.0,18337.0,20044.0,25904.0,27283.0,29907.0,31522.0,33190.0,37044.0,40467.0,42728.0,46455.0,49750.0,55210.0,62340.0,64532.0,68101.0,71505.0,73657.0,78532.0,81392.0,12878.0
16,44,CHORIER Julien,TEAM HOKA,SEH,17,FR,81733.0,4461.0,6492.0,10188.0,13742.0,17498.0,19204.0,25165.0,26575.0,29356.0,31027.0,32640.0,36293.0,40254.0,42905.0,46811.0,50423.0,56432.0,63487.0,65753.0,69010.0,72589.0,74726.0,79132.0,81733.0,13219.0
17,53,FERNANDES Luís,LUDENS CLUBE MACHICO,SEH,18,PT,82147.0,4629.0,6861.0,10642.0,14329.0,18281.0,20414.0,26489.0,27974.0,30747.0,32506.0,34288.0,38259.0,41785.0,44220.0,47944.0,51744.0,57584.0,64395.0,66693.0,69789.0,72979.0,75213.0,79907.0,82147.0,13633.0
18,163,DAVID Benjamin,,SEH,19,FR,82264.0,5040.0,7294.0,11319.0,15465.0,19365.0,21266.0,27420.0,29002.0,31932.0,33635.0,35367.0,39585.0,43115.0,45377.0,49305.0,52893.0,58437.0,64867.0,66833.0,69773.0,72795.0,74793.0,79643.0,82264.0,13750.0
19,51,BROWNING Jeff,,V1H,20,US,82552.0,4895.0,7146.0,11169.0,15048.0,18981.0,20896.0,27122.0,28592.0,31360.0,32962.0,34796.0,38801.0,42254.0,44553.0,48176.0,51491.0,57386.0,64360.0,66395.0,69824.0,73158.0,75502.0,80177.0,82552.0,14038.0
20,43,ORNATI Giulio,TEAM SALOMON ISOSTAD,SEH,21,IT,83314.0,4646.0,6796.0,10612.0,14287.0,18164.0,19952.0,26084.0,27564.0,30345.0,32155.0,33871.0,38037.0,41931.0,44324.0,48019.0,51749.0,57691.0,65010.0,67017.0,70249.0,73412.0,75774.0,80790.0,83314.0,14800.0
21,91,LARROTCHA Juan Jose,MURCIA CHALLENGE,V1H,22,ES,84445.0,4772.0,7065.0,11001.0,14908.0,19211.0,21215.0,27503.0,29079.0,32034.0,33856.0,35772.0,39996.0,43761.0,46230.0,50144.0,53766.0,59489.0,66646.0,68688.0,71885.0,74949.0,76943.0,81642.0,84445.0,15931.0
22,74,BERNAD BLASCO Victor,AML SPORT HG - MERIDIANO 0,V1H,23,ES,84651.0,5122.0,7293.0,11242.0,15034.0,18910.0,20704.0,27055.0,28457.0,31343.0,33059.0,34715.0,39192.0,43549.0,46024.0,50238.0,53583.0,59185.0,66176.0,68394.0,71694.0,74971.0,77096.0,82196.0,84651.0,16137.0
23,108,DIOGO Leonardo,MADEIRA ULTRA RUNNERS/CAMADEIRA,V2H,24,PT,84683.0,4877.0,7368.0,11466.0,15239.0,19096.0,21250.0,27359.0,29166.0,32165.0,34113.0,36011.0,40067.0,43742.0,46408.0,50519.0,54439.0,60545.0,67475.0,69679.0,72547.0,75680.0,77777.0,82289.0,84683.0,16169.0
